slice,revealed_reasoning_fraction_pct,n_state_reveal_pairs,ask_next_action_vs_model_action,ask_next_action_vs_optimal_action,ask_optimal_action_vs_optimal_action
clean public slice,0,15,9/15 (60.0%),12/15 (80.0%),12/15 (80.0%)
clean public slice,25,15,7/15 (46.7%),12/15 (80.0%),12/15 (80.0%)
clean public slice,50,15,10/15 (66.7%),14/15 (93.3%),13/15 (86.7%)
clean public slice,75,15,11/15 (73.3%),15/15 (100.0%),15/15 (100.0%)
clean public slice,100,15,15/15 (100.0%),15/15 (100.0%),15/15 (100.0%)
clean public slice,Overall,75,52/75 (69.3%),68/75 (90.7%),67/75 (89.3%)
failure-focused revealed-CoT slice,0,13,1/13 (7.7%),3/13 (23.1%),3/13 (23.1%)
failure-focused revealed-CoT slice,25,13,9/13 (69.2%),8/13 (61.5%),8/13 (61.5%)
failure-focused revealed-CoT slice,50,13,9/13 (69.2%),7/13 (53.8%),6/13 (46.2%)
failure-focused revealed-CoT slice,75,13,10/13 (76.9%),9/13 (69.2%),9/13 (69.2%)
failure-focused revealed-CoT slice,100,13,13/13 (100.0%),6/13 (46.2%),5/13 (38.5%)
failure-focused revealed-CoT slice,Overall,65,42/65 (64.6%),33/65 (50.8%),31/65 (47.7%)
