question_id,target_variable,question_family,answer_space,n_rows,valid_parse_rate,valid_parse_rate_t07,valid_parse_rate_t1,mc_valid_parse_rate,greedy_accuracy,greedy_repeated_modal_accuracy,greedy_repeated_valid_parse_rate,greedy_repeated_agreement_rate,mean_greedy_entropy,logprob_yes_no_accuracy_t0,logprob_yes_no_accuracy_t07,logprob_yes_no_accuracy_t1,mc_yes_no_accuracy,logprob_t0_accuracy,logprob_t07_accuracy,logprob_t1_accuracy,mc_accuracy,mean_entropy_t0,mean_entropy_t07,mean_entropy_t1,mean_mc_entropy,fraction_unknown_t0,fraction_unknown_t07,fraction_unknown_t1,mc_fraction_unknown,greedy_logprob_t0_agreement,greedy_vs_greedy_repeated_modal_agreement,greedy_logprob_yes_no_t0_agreement,greedy_logprob_yes_no_t07_agreement,greedy_logprob_yes_no_t1_agreement,greedy_mc_yes_no_agreement,greedy_logprob_t07_agreement,greedy_logprob_t1_agreement,greedy_mc_agreement,consistency_inconsistent,consistency_potentially_consistent,consistency_unknown_based,mc_consistency_inconsistent,mc_consistency_potentially_consistent,mc_consistency_unknown_based,sampled_accuracy,mean_entropy,fraction_unknown,greedy_sampled_agreement,local_belief_action_gap_count,local_belief_action_consistent_count,local_belief_action_gap_denominator,local_belief_action_gap_rate,mc_local_belief_action_gap_count,mc_local_belief_action_consistent_count,mc_local_belief_action_gap_denominator,mc_local_belief_action_gap_rate,greedy_optimality_conditioned_gap_count,greedy_optimality_conditioned_consistent_count,greedy_optimality_conditioned_gap_denominator,greedy_optimality_conditioned_gap_rate,greedy_optimality_conditioned_skipped_unknown,greedy_optimality_conditioned_skipped_incorrect,greedy_optimality_conditioned_skipped_missing_optimality,mc_optimality_conditioned_gap_count,mc_optimality_conditioned_consistent_count,mc_optimality_conditioned_gap_denominator,mc_optimality_conditioned_gap_rate,mc_optimality_conditioned_skipped_unknown,mc_optimality_conditioned_skipped_incorrect,mc_optimality_conditioned_skipped_missing_optimality
is_door_down,is_door_down,object_directional,label3,16,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9875,0.0451205059304603,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,3.795450549573168e-07,8.345232434419952e-11,1.5466672280381178e-07,0.05508068120191845,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0,0,0,0,0,0,1.0,1.5466672280381178e-07,0.0,0.9375,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_left,is_door_left,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.339410134900654e-08,1.8907233249649826e-09,1.2302479272285447e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.2302479272285447e-07,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_right,is_door_right,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.390502994196826e-08,2.7017064867915155e-08,1.6286881910133533e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.6286881910133533e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_up,is_door_up,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,1.0,2.9633615486856023e-07,3.6169196199953652e-09,1.8590314130098143e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,0,0,0,0,0,0,0.9375,1.8590314130098143e-07,0.0,0.9375,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_down,is_goal_down,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.088544599254641e-07,2.8432427162727627e-11,9.597343829670679e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,9.597343829670679e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_left,is_goal_left,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.867049661505721e-06,7.301786808356702e-10,1.1080050976331554e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.1080050976331554e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_right,is_goal_right,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2476679179893334e-08,3.742054923736208e-09,1.5424102494535568e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.5424102494535568e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_up,is_goal_up,object_directional,label3,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.7643820261757854e-07,5.89296259687985e-10,8.532421887536739e-08,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,8.532421887536739e-08,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_key_down,is_key_down,object_directional,label3,16,1.0,1.0,1.0,1.0,0.6875,0.9375,1.0,0.7375,0.45419051736967225,1.0,1.0,1.0,1.0,0.6875,0.5625,1.0,1.0,2.4817865157221257e-06,1.2318981875794678e-09,2.3124337641755447e-05,0.4843849780075444,0.3125,0.4375,0.0,0.0,1.0,0.75,0.6875,0.6875,0.6875,0.6875,0.75,0.6875,0.6875,0,0,0,0,0,0,1.0,2.3124337641755447e-05,0.0,0.6875,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_key_left,is_key_left,object_directional,label3,16,1.0,1.0,1.0,1.0,0.5,0.4375,1.0,0.8625,0.36640295428570385,1.0,0.9375,1.0,0.9375,0.5,0.5625,0.9375,0.875,6.954970899874847e-08,3.7172881673578364e-08,1.3671825385084779e-06,0.6827750570626089,0.5,0.375,0.0625,0.125,1.0,0.9375,0.5,0.4375,0.5,0.4375,0.6875,0.5625,0.5,0,0,0,0,0,0,0.9375,1.3671825385084779e-06,0.0625,0.5625,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
