question_id,target_variable,question_family,answer_space,n_rows,valid_parse_rate,valid_parse_rate_t07,valid_parse_rate_t1,mc_valid_parse_rate,greedy_accuracy,greedy_repeated_modal_accuracy,greedy_repeated_valid_parse_rate,greedy_repeated_agreement_rate,mean_greedy_entropy,logprob_yes_no_accuracy_t0,logprob_yes_no_accuracy_t07,logprob_yes_no_accuracy_t1,mc_yes_no_accuracy,logprob_t0_accuracy,logprob_t07_accuracy,logprob_t1_accuracy,mc_accuracy,mean_entropy_t0,mean_entropy_t07,mean_entropy_t1,mean_mc_entropy,fraction_unknown_t0,fraction_unknown_t07,fraction_unknown_t1,mc_fraction_unknown,greedy_logprob_t0_agreement,greedy_vs_greedy_repeated_modal_agreement,greedy_logprob_yes_no_t0_agreement,greedy_logprob_yes_no_t07_agreement,greedy_logprob_yes_no_t1_agreement,greedy_mc_yes_no_agreement,greedy_logprob_t07_agreement,greedy_logprob_t1_agreement,greedy_mc_agreement,consistency_inconsistent,consistency_potentially_consistent,consistency_unknown_based,mc_consistency_inconsistent,mc_consistency_potentially_consistent,mc_consistency_unknown_based,sampled_accuracy,mean_entropy,fraction_unknown,greedy_sampled_agreement,local_belief_action_gap_count,local_belief_action_consistent_count,local_belief_action_gap_denominator,local_belief_action_gap_rate,mc_local_belief_action_gap_count,mc_local_belief_action_consistent_count,mc_local_belief_action_gap_denominator,mc_local_belief_action_gap_rate,greedy_optimality_conditioned_gap_count,greedy_optimality_conditioned_consistent_count,greedy_optimality_conditioned_gap_denominator,greedy_optimality_conditioned_gap_rate,greedy_optimality_conditioned_skipped_unknown,greedy_optimality_conditioned_skipped_incorrect,greedy_optimality_conditioned_skipped_missing_optimality,mc_optimality_conditioned_gap_count,mc_optimality_conditioned_consistent_count,mc_optimality_conditioned_gap_denominator,mc_optimality_conditioned_gap_rate,mc_optimality_conditioned_skipped_unknown,mc_optimality_conditioned_skipped_incorrect,mc_optimality_conditioned_skipped_missing_optimality
is_door_down,is_door_down,object_directional,label3,33,1.0,1.0,1.0,1.0,0.9696969696969697,0.9696969696969697,1.0,0.990909090909091,0.026705784825172663,0.9696969696969697,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,4.4386959828413417e-07,7.494985091080441e-11,3.362157147320157e-06,0.04091777250969633,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0,0,0,0,0,0,1.0,3.362157147320157e-06,0.0,0.9696969696969697,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_left,is_door_left,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9622897863976333e-08,5.983376031631607e-09,1.6013450531985715e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.6013450531985715e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_right,is_door_right,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.564064780210613e-08,3.076752788545534e-10,7.742675995461171e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,7.742675995461171e-07,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_door_up,is_door_up,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.749601234467612e-07,7.726826081968846e-10,4.243588701509893e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,4.243588701509893e-07,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_down,is_goal_down,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.386719381715771e-08,1.0140435262069696e-08,1.0847492457041253e-06,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0847492457041253e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_left,is_goal_left,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.197511933016642e-07,1.4977346002204992e-08,2.2443540045610872e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,2.2443540045610872e-07,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_right,is_goal_right,object_directional,label3,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.479312626420752e-08,1.0009887068784544e-09,9.121992313844933e-07,1.6017132519074586e-16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,9.121992313844933e-07,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_goal_up,is_goal_up,object_directional,label3,33,1.0,1.0,1.0,0.996969696969697,1.0,1.0,1.0,1.0,1.6017132519074586e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.68381088609081e-07,1.71957044899186e-10,1.127235689069437e-06,0.014211987684523832,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.127235689069437e-06,0.0,1.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_key_down,is_key_down,object_directional,label3,33,1.0,1.0,1.0,1.0,0.7272727272727273,0.8484848484848485,1.0,0.7818181818181819,0.4753400008346091,1.0,0.9696969696969697,0.9696969696969697,1.0,0.7272727272727273,0.8181818181818182,0.8484848484848485,1.0,2.6262107553170107e-06,7.252795550746012e-07,1.7168575806491958e-06,0.47996974215250615,0.2727272727272727,0.18181818181818182,0.12121212121212122,0.0,1.0,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.696969696969697,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.7272727272727273,0,0,0,0,0,0,0.8484848484848485,1.7168575806491958e-06,0.12121212121212122,0.6363636363636364,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
is_key_left,is_key_left,object_directional,label3,33,1.0,1.0,1.0,1.0,0.3939393939393939,0.42424242424242425,1.0,0.8818181818181818,0.30081719878729346,1.0,0.9696969696969697,1.0,1.0,0.3939393939393939,0.696969696969697,0.8181818181818182,0.9090909090909091,1.8039216044564006e-07,3.288141566384101e-08,1.4568904833780623e-05,0.6780255346236115,0.6060606060606061,0.2727272727272727,0.18181818181818182,0.09090909090909091,1.0,0.9696969696969697,0.3939393939393939,0.36363636363636365,0.3939393939393939,0.3939393939393939,0.45454545454545453,0.45454545454545453,0.48484848484848486,0,0,0,0,0,0,0.8181818181818182,1.4568904833780623e-05,0.18181818181818182,0.45454545454545453,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0
