failure_mode,reasoning_reveal_pct,n_rows,blackbox_wall_accuracy,mean_blackbox_entropy,action_greedy_modal_optimality_rate,local_belief_action_gap_rate,local_belief_action_gap_denominator,astar_conditioned_gap_rate,astar_conditioned_gap_denominator
avoidable_detour,0,4,1.0,2.3420468659060698e-07,1.0,0.0,1,0.0,1
avoidable_detour,25,4,1.0,2.8320381345491917e-05,1.0,0.0,1,0.0,1
avoidable_detour,50,4,1.0,1.1736738457666016e-05,1.0,0.0,1,0.0,1
avoidable_detour,75,4,1.0,4.3306107569461736e-05,0.0,0.0,1,1.0,1
avoidable_detour,100,4,1.0,0.0011019864781655184,0.0,0.0,1,1.0,1
backtrack,0,12,0.9166666666666666,1.4984508049011423e-07,0.6666666666666666,0.0,3,0.3333333333333333,3
backtrack,25,12,1.0,0.0009385062824869357,1.0,0.0,3,0.0,3
backtrack,50,12,1.0,0.00045780277312027916,0.6666666666666666,0.0,3,0.3333333333333333,3
backtrack,75,12,1.0,0.0034553126536155583,0.3333333333333333,0.3333333333333333,3,0.6666666666666666,3
backtrack,100,12,1.0,0.04511173427713482,0.6666666666666666,0.0,3,0.3333333333333333,3
freeze_repeat,0,8,1.0,2.563517838283776e-06,1.0,0.0,2,0.0,2
freeze_repeat,25,8,1.0,4.445474809285341e-05,1.0,0.0,2,0.0,2
freeze_repeat,50,8,1.0,0.0012461861766865819,1.0,0.0,2,0.0,2
freeze_repeat,75,8,1.0,0.001392901887990507,1.0,0.0,2,0.0,2
freeze_repeat,100,8,1.0,0.0004246570275744046,1.0,0.0,2,0.0,2
oscillation_2cycle,0,8,0.875,2.083150222584992e-07,1.0,0.0,2,0.0,2
oscillation_2cycle,25,8,1.0,0.0001753824829744854,0.5,0.0,2,0.5,2
oscillation_2cycle,50,8,1.0,0.0014963236102463918,1.0,0.0,2,0.0,2
oscillation_2cycle,75,8,1.0,0.0025536869659734396,1.0,0.0,2,0.0,2
oscillation_2cycle,100,8,1.0,0.05737063451653209,1.0,0.0,2,0.0,2
short_loop,0,8,1.0,2.932730007564348e-06,0.5,0.5,2,0.5,2
short_loop,25,8,1.0,0.00024891385637179294,1.0,0.0,2,0.0,2
short_loop,50,8,1.0,0.0020420862906150496,0.5,0.0,2,0.5,2
short_loop,75,8,0.875,0.09021798782443174,1.0,0.0,2,0.0,2
short_loop,100,8,1.0,0.05520476757939314,1.0,0.0,2,0.0,2
wall_hit,0,8,1.0,9.005543360851219e-07,1.0,0.0,2,0.0,2
wall_hit,25,8,1.0,0.000652724926885771,1.0,0.0,2,0.0,2
wall_hit,50,8,1.0,0.0010992967768824224,0.5,0.5,2,0.5,2
wall_hit,75,8,1.0,0.004202170458875893,0.5,0.5,2,0.5,2
wall_hit,100,8,1.0,0.04702493123524954,0.0,1.0,2,1.0,2
