failure_mode,reasoning_reveal_pct,n_rows,blackbox_wall_accuracy,mean_blackbox_entropy,action_greedy_modal_optimality_rate,local_belief_action_gap_rate,local_belief_action_gap_denominator,astar_conditioned_gap_rate,astar_conditioned_gap_denominator
avoidable_detour,0,16,1.0,0.0,0.5,0.0,4,0.5,4
avoidable_detour,25,16,0.875,0.0,0.75,0.0,4,0.25,4
avoidable_detour,50,16,0.8125,0.0,0.75,0.0,4,0.25,4
avoidable_detour,75,16,0.875,0.0,0.0,0.0,4,1.0,4
avoidable_detour,100,16,0.8125,0.0,0.0,0.0,4,1.0,4
backtrack,0,8,1.0,0.0,0.5,0.5,2,0.5,2
backtrack,25,8,1.0,0.0,1.0,0.0,2,0.0,2
backtrack,50,8,1.0,0.0,1.0,0.0,2,0.0,2
backtrack,75,8,0.875,0.0,1.0,0.0,2,0.0,2
backtrack,100,8,1.0,0.0,1.0,0.0,2,0.0,2
baseline_optimal,0,16,0.875,0.0,1.0,0.0,4,0.0,4
baseline_optimal,25,16,1.0,0.0,1.0,0.0,4,0.0,4
baseline_optimal,50,16,1.0,0.0,1.0,0.0,4,0.0,4
baseline_optimal,75,16,1.0,0.0,1.0,0.0,4,0.0,4
baseline_optimal,100,16,1.0,0.0,1.0,0.0,4,0.0,4
wall_hit,0,12,1.0,0.0,0.6666666666666666,0.0,3,0.3333333333333333,3
wall_hit,25,12,1.0,0.0,1.0,0.0,3,0.0,3
wall_hit,50,12,1.0,0.0,0.6666666666666666,0.3333333333333333,3,0.3333333333333333,3
wall_hit,75,12,1.0,0.0,0.6666666666666666,0.3333333333333333,3,0.3333333333333333,3
wall_hit,100,12,1.0,0.0,0.0,1.0,3,1.0,3
