event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,agent_location,coordinates,25,43,2,0.08,2,0.08,2,0.08,5,0.2,4,0.09302325581395349,0.9069767441860466
optimal_to_suboptimal,belief_error_onset,door_open,core,25,95,13,0.52,3,0.12,13,0.52,23,0.92,15,0.15789473684210525,0.8421052631578947
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_effects,25,6,1,0.04,0,0.0,1,0.04,1,0.04,1,0.16666666666666666,0.8333333333333334
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_effects,25,3,1,0.04,0,0.0,1,0.04,2,0.08,1,0.3333333333333333,0.6666666666666667
optimal_to_suboptimal,belief_error_onset,door_open_after_right,action_effects,25,4,0,0.0,0,0.0,1,0.04,1,0.04,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_up,action_effects,25,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,goal_location,coordinates,25,31,3,0.12,0,0.0,1,0.04,3,0.12,3,0.0967741935483871,0.9032258064516129
optimal_to_suboptimal,belief_error_onset,has_key,core,25,8,2,0.08,0,0.0,2,0.08,3,0.12,2,0.25,0.75
optimal_to_suboptimal,belief_error_onset,has_key_after_down,action_effects,25,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_left,action_effects,25,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_effects,25,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_down,action_effects,25,24,3,0.12,0,0.0,3,0.12,5,0.2,3,0.125,0.875
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_effects,25,34,4,0.16,1,0.04,3,0.12,6,0.24,5,0.14705882352941177,0.8529411764705882
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_effects,25,23,4,0.16,0,0.0,4,0.16,6,0.24,5,0.21739130434782608,0.782608695652174
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_effects,25,23,0,0.0,2,0.08,1,0.04,3,0.12,2,0.08695652173913043,0.9130434782608696
optimal_to_suboptimal,belief_error_onset,wall_down,wall_directional,25,32,3,0.12,3,0.12,4,0.16,9,0.36,6,0.1875,0.8125
optimal_to_suboptimal,belief_error_onset,wall_left,wall_directional,25,6,0,0.0,2,0.08,0,0.0,2,0.08,2,0.3333333333333333,0.6666666666666667
