event_family,belief_a,belief_b,n_events_with_pair,event_coverage,n_occurrences
suboptimal_to_optimal,wall_down,wall_left,3,0.10344827586206896,3
optimal_to_suboptimal,door_open,wall_down,3,0.12,3
optimal_to_suboptimal,wall_down,wall_right,3,0.12,3
optimal_to_suboptimal,wall_down,wall_left,2,0.08,2
optimal_to_suboptimal,wall_down,wall_up,2,0.08,2
optimal_to_suboptimal,wall_left,wall_up,2,0.08,2
suboptimal_to_optimal,wall_down,wall_up,2,0.06896551724137931,2
suboptimal_to_optimal,wall_left,wall_up,2,0.06896551724137931,2
suboptimal_to_optimal,wall_down,wall_right,2,0.06896551724137931,2
suboptimal_to_optimal,door_open,wall_down,2,0.06896551724137931,2
optimal_to_suboptimal,has_key,wall_down,1,0.04,1
optimal_to_suboptimal,has_key,wall_left,1,0.04,1
optimal_to_suboptimal,has_key,wall_up,1,0.04,1
suboptimal_to_optimal,has_key,wall_down,1,0.034482758620689655,1
suboptimal_to_optimal,has_key,wall_left,1,0.034482758620689655,1
suboptimal_to_optimal,has_key,wall_up,1,0.034482758620689655,1
optimal_to_suboptimal,wall_left,wall_right,1,0.04,1
optimal_to_suboptimal,wall_right,wall_up,1,0.04,1
suboptimal_to_optimal,wall_left,wall_right,1,0.034482758620689655,1
suboptimal_to_optimal,wall_right,wall_up,1,0.034482758620689655,1
optimal_to_suboptimal,door_open,wall_right,1,0.04,1
suboptimal_to_optimal,door_open,wall_right,1,0.034482758620689655,1
optimal_to_suboptimal,door_open,has_key,1,0.04,1
suboptimal_to_optimal,door_open,has_key,1,0.034482758620689655,1
