event_type,failure_category,n_events,n_nearby_belief_shifts,n_belief_shifts_leading,n_belief_shifts_coinciding,n_belief_shifts_lagging,n_persistent_belief_error_onsets
action_identity_change_without_optimality_change,backtrack,1,0,0,0,0,0
action_identity_change_without_optimality_change,none,10,0,0,0,0,0
action_identity_change_without_optimality_change,oscillation_2cycle,9,0,0,0,0,0
suboptimal_to_optimal_recovery,avoidable_detour,1,4,1,2,1,0
suboptimal_to_optimal_recovery,backtrack,7,67,23,14,30,15
suboptimal_to_optimal_recovery,freeze_repeat,4,24,7,4,13,12
suboptimal_to_optimal_recovery,none,7,68,18,12,38,10
suboptimal_to_optimal_recovery,oscillation_2cycle,3,26,12,5,9,7
suboptimal_to_optimal_recovery,short_loop,4,31,9,6,16,5
suboptimal_to_optimal_recovery,wall_hit,3,28,10,4,14,6
sustained_optimal_to_suboptimal,avoidable_detour,1,4,3,0,1,1
sustained_optimal_to_suboptimal,backtrack,4,44,15,4,25,9
sustained_optimal_to_suboptimal,freeze_repeat,1,1,0,0,1,1
sustained_optimal_to_suboptimal,none,2,24,11,6,7,8
sustained_optimal_to_suboptimal,short_loop,1,7,2,0,5,3
sustained_optimal_to_suboptimal,wall_hit,4,30,12,1,17,9
transient_optimal_to_suboptimal,avoidable_detour,1,4,1,0,3,0
transient_optimal_to_suboptimal,backtrack,2,20,7,3,10,6
transient_optimal_to_suboptimal,freeze_repeat,3,19,5,4,10,8
transient_optimal_to_suboptimal,none,1,24,9,3,12,4
transient_optimal_to_suboptimal,oscillation_2cycle,2,23,11,4,8,7
transient_optimal_to_suboptimal,short_loop,2,16,8,1,7,3
transient_optimal_to_suboptimal,wall_hit,1,11,4,3,4,1
