transition_family,model_type,n_trajectories,n_rows,n_positive,positive_rate,roc_auc,brier_score,log_loss
optimal_to_suboptimal,prevalence_baseline,14,436,19,0.04357798165137615,0.5,0.04167894116656847,0.17915303441723945
optimal_to_suboptimal,baseline,14,436,19,0.04357798165137615,0.3208380663889941,0.04409867060890485,0.1989352817278017
optimal_to_suboptimal,global_beliefs,14,436,19,0.04357798165137615,0.32727502208759307,0.043289641155885406,0.19710090927495352
optimal_to_suboptimal,belief_dynamics,14,436,19,0.04357798165137615,0.48889309604947623,0.04329327910259065,0.18972113312799754
optimal_to_suboptimal,global_beliefs_and_dynamics,14,436,19,0.04357798165137615,0.3612899154360722,0.043042504589527665,0.24002605123501963
optimal_to_suboptimal,action_conditioned,14,436,19,0.04357798165137615,0.28833775085195,0.044852214233393826,0.20723855674050926
optimal_to_suboptimal,combined,14,436,19,0.04357798165137615,0.19468635617821534,0.04469567626590318,0.2514097039970871
optimal_to_suboptimal,belief_action_chain,14,436,19,0.04357798165137615,0.19620093398965038,0.04455100203257991,0.21902614538493928
suboptimal_to_optimal,prevalence_baseline,6,76,21,0.27631578947368424,0.5,0.19996537396121883,0.5894399668655709
suboptimal_to_optimal,baseline,6,76,21,0.27631578947368424,0.5666666666666667,0.24067516876769632,0.6796707706203197
suboptimal_to_optimal,global_beliefs,6,76,21,0.27631578947368424,0.3965367965367965,0.4636601069692358,2.661584329324289
suboptimal_to_optimal,belief_dynamics,6,76,21,0.27631578947368424,0.5826839826839827,0.25257267457690885,0.7105536077257334
suboptimal_to_optimal,global_beliefs_and_dynamics,6,76,21,0.27631578947368424,0.5177489177489177,0.3497556042813324,1.2605142200062225
suboptimal_to_optimal,action_conditioned,6,76,21,0.27631578947368424,0.3930735930735931,0.4062221733356923,1.2483052338815386
suboptimal_to_optimal,combined,6,76,21,0.27631578947368424,0.5748917748917749,0.27581916663071926,0.8916496744598971
suboptimal_to_optimal,belief_action_chain,6,76,21,0.27631578947368424,0.40346320346320347,0.40867705093400064,1.3781597796992442
