event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,agent_location,coordinates,129,309,21,0.16279069767441862,6,0.046511627906976744,20,0.15503875968992248,41,0.3178294573643411,24,0.07766990291262135,0.9223300970873787
optimal_to_suboptimal,belief_error_onset,door_location,coordinates,129,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open,core,129,647,41,0.3178294573643411,20,0.15503875968992248,54,0.4186046511627907,86,0.6666666666666666,59,0.09119010819165378,0.9088098918083463
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_effects,129,22,1,0.007751937984496124,0,0.0,0,0.0,1,0.007751937984496124,1,0.045454545454545456,0.9545454545454546
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_effects,129,14,1,0.007751937984496124,1,0.007751937984496124,2,0.015503875968992248,4,0.031007751937984496,2,0.14285714285714285,0.8571428571428572
optimal_to_suboptimal,belief_error_onset,door_open_after_right,action_effects,129,17,0,0.0,0,0.0,1,0.007751937984496124,1,0.007751937984496124,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_up,action_effects,129,21,2,0.015503875968992248,2,0.015503875968992248,0,0.0,4,0.031007751937984496,3,0.14285714285714285,0.8571428571428572
optimal_to_suboptimal,belief_error_onset,goal_location,coordinates,129,152,11,0.08527131782945736,0,0.0,13,0.10077519379844961,18,0.13953488372093023,12,0.07894736842105263,0.9210526315789473
optimal_to_suboptimal,belief_error_onset,has_key,core,129,44,5,0.03875968992248062,4,0.031007751937984496,3,0.023255813953488372,9,0.06976744186046512,8,0.18181818181818182,0.8181818181818181
optimal_to_suboptimal,belief_error_onset,has_key_after_down,action_effects,129,27,3,0.023255813953488372,1,0.007751937984496124,1,0.007751937984496124,5,0.03875968992248062,3,0.1111111111111111,0.8888888888888888
optimal_to_suboptimal,belief_error_onset,has_key_after_left,action_effects,129,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_right,action_effects,129,27,0,0.0,0,0.0,1,0.007751937984496124,1,0.007751937984496124,0,0.0,1.0
