event_family,belief_a,belief_b,n_events_with_pair,event_coverage,n_occurrences
optimal_to_suboptimal,door_open,wall_down,9,0.06976744186046512,9
optimal_to_suboptimal,wall_down,wall_up,5,0.03875968992248062,5
suboptimal_to_optimal,door_open,wall_down,5,0.037037037037037035,5
suboptimal_to_optimal,wall_down,wall_up,4,0.02962962962962963,4
suboptimal_to_optimal,wall_down,wall_left,3,0.022222222222222223,3
optimal_to_suboptimal,wall_left,wall_up,3,0.023255813953488372,3
suboptimal_to_optimal,wall_left,wall_up,3,0.022222222222222223,3
optimal_to_suboptimal,door_open,has_key,3,0.023255813953488372,3
suboptimal_to_optimal,door_open,has_key,3,0.022222222222222223,3
suboptimal_to_optimal,door_open,wall_right,3,0.022222222222222223,3
optimal_to_suboptimal,wall_down,wall_left,2,0.015503875968992248,2
optimal_to_suboptimal,wall_down,wall_right,2,0.015503875968992248,2
optimal_to_suboptimal,has_key,wall_down,1,0.007751937984496124,1
optimal_to_suboptimal,has_key,wall_left,1,0.007751937984496124,1
optimal_to_suboptimal,has_key,wall_up,1,0.007751937984496124,1
suboptimal_to_optimal,has_key,wall_down,1,0.007407407407407408,1
suboptimal_to_optimal,has_key,wall_left,1,0.007407407407407408,1
suboptimal_to_optimal,has_key,wall_up,1,0.007407407407407408,1
optimal_to_suboptimal,wall_left,wall_right,1,0.007751937984496124,1
optimal_to_suboptimal,wall_right,wall_up,1,0.007751937984496124,1
suboptimal_to_optimal,wall_down,wall_right,1,0.007407407407407408,1
suboptimal_to_optimal,wall_left,wall_right,1,0.007407407407407408,1
suboptimal_to_optimal,wall_right,wall_up,1,0.007407407407407408,1
optimal_to_suboptimal,door_open,wall_right,1,0.007751937984496124,1
optimal_to_suboptimal,door_open,wall_up,1,0.007751937984496124,1
suboptimal_to_optimal,door_open,wall_up,1,0.007407407407407408,1
