question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,5492,286,832,431,3943,3.144794083526682,1.6287687216218238e-38,1.1944303958560041e-37
door_location,coordinates,5506,0,3,719,4784,0.0,1.0,1.0
door_open,core,5299,312,2376,379,2232,0.7733269369153274,0.0016806524883883978,0.004108261638282751
door_open_after_down,action_effects,786,4,79,134,569,0.21500094464386926,0.0006342223714823593,0.0017441115215764882
door_open_after_left,action_effects,1162,1,41,257,863,0.08190186960235361,0.0004709836330918903,0.001480234275431655
door_open_after_right,action_effects,1518,0,30,169,1319,0.0,0.0693926372611359,0.10904557283892784
door_open_after_up,action_effects,1893,1,30,128,1734,0.4515625,0.7189383620055054,0.8692260985470073
goal_location,coordinates,5484,39,291,679,4475,0.8832728542580812,0.5554420449275776,0.7637328117754193
has_key,core,5426,18,59,686,4663,2.0737757572762763,0.009954534471033871,0.021899975836274517
has_key_after_down,action_effects,811,9,50,130,622,0.8612307692307692,0.8576449687211414,0.8984852053269099
has_key_after_left,action_effects,1177,0,18,259,900,0.0,0.01879829010564363,0.03759658021128726
has_key_after_right,action_effects,1545,3,32,176,1334,0.7105823863636364,0.790205544133643,0.8692260985470073
has_key_after_up,action_effects,1905,4,13,127,1761,4.266505148394912,0.02518718746049906,0.04617651034424827
hit_wall_after_down,action_effects,803,89,282,48,384,2.524822695035461,1.391202774993766e-06,5.101076841643808e-06
hit_wall_after_left,action_effects,1127,106,360,145,516,1.047816091954023,0.7714095013177963,0.8692260985470073
hit_wall_after_right,action_effects,1494,66,497,102,829,1.0792993253639485,0.6729591319937667,0.8692260985470073
hit_wall_after_up,action_effects,1860,62,999,67,732,0.6780511855138721,0.03421936043204247,0.05790968688499495
key_location,coordinates,5504,0,19,719,4766,0.0,0.16121090822931783,0.2364426654029995
wall_down,wall_directional,5115,207,261,468,4179,7.082007073386384,7.292392893129814e-70,8.021632182442795e-69
wall_left,wall_directional,4886,23,28,600,4235,5.797916666666667,1.087549524625538e-08,4.7852179083523674e-08
wall_right,wall_directional,4906,40,12,591,4263,24.04399323181049,3.546635006862559e-26,1.9506492537744075e-25
wall_up,wall_directional,5006,202,132,446,4226,14.500135888028264,3.066856811554294e-103,6.747084985419447e-102
