event_type,failure_category,n_events,n_nearby_belief_shifts,n_belief_shifts_leading,n_belief_shifts_coinciding,n_belief_shifts_lagging,n_persistent_belief_error_onsets
action_identity_change_without_optimality_change,avoidable_detour,5,0,0,0,0,0
action_identity_change_without_optimality_change,backtrack,371,0,0,0,0,0
action_identity_change_without_optimality_change,none,354,0,0,0,0,0
action_identity_change_without_optimality_change,oscillation_2cycle,9,0,0,0,0,0
action_identity_change_without_optimality_change,short_loop,68,0,0,0,0,0
action_identity_change_without_optimality_change,wall_hit,1,0,0,0,0,0
suboptimal_to_optimal_recovery,avoidable_detour,15,138,60,24,54,36
suboptimal_to_optimal_recovery,backtrack,36,407,170,64,173,64
suboptimal_to_optimal_recovery,none,54,446,169,68,209,93
suboptimal_to_optimal_recovery,oscillation_2cycle,2,15,7,3,5,3
suboptimal_to_optimal_recovery,short_loop,21,311,118,46,147,42
suboptimal_to_optimal_recovery,wall_hit,7,66,28,8,30,16
sustained_optimal_to_suboptimal,avoidable_detour,13,148,60,24,64,34
sustained_optimal_to_suboptimal,backtrack,14,172,61,21,90,29
sustained_optimal_to_suboptimal,none,25,234,97,37,100,50
sustained_optimal_to_suboptimal,short_loop,5,68,32,9,27,11
sustained_optimal_to_suboptimal,wall_hit,5,49,24,10,15,14
transient_optimal_to_suboptimal,avoidable_detour,6,49,26,5,18,11
transient_optimal_to_suboptimal,backtrack,21,231,97,36,98,37
transient_optimal_to_suboptimal,none,22,178,81,24,73,39
transient_optimal_to_suboptimal,oscillation_2cycle,1,12,5,3,4,2
transient_optimal_to_suboptimal,short_loop,15,230,93,28,109,37
transient_optimal_to_suboptimal,wall_hit,2,22,9,5,8,5
