transition_family,model_type,reference_type,roc_auc_difference,brier_score_difference,log_loss_difference,n_paired_rows,roc_auc_difference_ci_low,roc_auc_difference_ci_high,brier_score_difference_ci_low,brier_score_difference_ci_high,log_loss_difference_ci_low,log_loss_difference_ci_high
optimal_to_suboptimal,baseline,prevalence_baseline,0.06944278458320885,6.429502184629454e-06,-0.0003042494552702446,3427,0.03722288710021207,0.13748761278898033,-8.235748073329102e-05,6.967886639421746e-05,-0.001898225796968723,0.0007409376616527492
optimal_to_suboptimal,global_beliefs,prevalence_baseline,0.09656408724230658,6.960233976519709e-05,-0.00026482399585868455,3427,0.057138808915603884,0.16172433287421173,-2.8694740853593086e-05,0.00016770930865154867,-0.0017310754282574708,0.001117694655282256
optimal_to_suboptimal,global_beliefs,baseline,0.027121302659097735,6.317283758056763e-05,3.942545941156006e-05,3427,-0.016530667380664887,0.0501100827336326,-1.8456947152602894e-06,0.00014215509039583124,-0.0006849424201085766,0.0010903306735326255
optimal_to_suboptimal,belief_dynamics,prevalence_baseline,0.07435389901404243,1.4594795896154256e-05,-0.00031050300212888404,3427,0.03103779565339499,0.15686746616123334,-0.00011527522670618292,0.00010811510182231077,-0.002750453493925372,0.0012913819236299395
optimal_to_suboptimal,belief_dynamics,baseline,0.004911114430833585,8.165293711524801e-06,-6.253546858639436e-06,3427,-0.03131251552059528,0.05214943230211147,-7.146617829806439e-05,0.00010431457322762105,-0.001350345715344889,0.0014576409519411883
optimal_to_suboptimal,global_beliefs_and_dynamics,prevalence_baseline,0.0666268299970123,4.9508987223247786e-05,0.0006312785484745148,3427,0.02143742172700646,0.14912639756518686,-2.7201310083135258e-05,0.00013002310792896497,-0.0015809796111487286,0.0021264798002575904
optimal_to_suboptimal,global_beliefs_and_dynamics,baseline,-0.002815954586196545,4.307948503861833e-05,0.0009355280037447594,3427,-0.04393697468997654,0.04314910285933564,-6.217184577596256e-05,0.00017054445551257784,-0.00031384982062923785,0.002538531434292688
optimal_to_suboptimal,action_conditioned,prevalence_baseline,0.06538131162234839,4.8016360352756e-05,0.00021213459454351435,3427,0.03132622904335331,0.13103126899714398,-7.568577241536603e-05,0.0001601283219005814,-0.0018524781884537312,0.0017334217818439498
optimal_to_suboptimal,action_conditioned,baseline,-0.004061472960860457,4.1586858168126545e-05,0.000516384049813759,3427,-0.01708019179810706,0.0057163998204735325,-1.5449077862206105e-06,9.498509820414015e-05,-8.240254025314654e-05,0.0011359024448504861
optimal_to_suboptimal,combined,prevalence_baseline,0.10338922916044224,0.00015150036728349067,0.00041389885774509305,3427,0.05634781108778618,0.16323629335418902,-4.0924079035835944e-05,0.0003697801134018968,-0.0019911340749486028,0.0026179708464060206
