transition_family,model_type,feature,standardized_coefficient
optimal_to_suboptimal,baseline,reasoning_progress,-0.2559008300304413
optimal_to_suboptimal,global_beliefs,reasoning_progress,-0.2747902274131775
optimal_to_suboptimal,global_beliefs,error_wall_left,-0.07394183427095413
optimal_to_suboptimal,global_beliefs,error_wall_right,0.07724153995513916
optimal_to_suboptimal,global_beliefs,error_wall_up,0.04635685682296753
optimal_to_suboptimal,global_beliefs,error_wall_down,0.13722500205039978
optimal_to_suboptimal,global_beliefs,error_has_key,0.15545812249183655
optimal_to_suboptimal,belief_dynamics,reasoning_progress,-0.27063706517219543
optimal_to_suboptimal,belief_dynamics,n_global_belief_changes,0.07701219618320465
optimal_to_suboptimal,belief_dynamics,n_global_error_onsets,0.1316623091697693
optimal_to_suboptimal,belief_dynamics,n_global_error_recoveries,-0.011199399828910828
optimal_to_suboptimal,global_beliefs_and_dynamics,reasoning_progress,-0.2778111398220062
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_left,-0.07563034445047379
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_right,0.06924320757389069
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_up,0.021722832694649696
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_down,0.10266152024269104
optimal_to_suboptimal,global_beliefs_and_dynamics,error_has_key,0.13304196298122406
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_belief_changes,0.040626659989356995
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_onsets,0.06912752985954285
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_recoveries,-0.00023768663231749088
optimal_to_suboptimal,action_conditioned,reasoning_progress,-0.24702176451683044
optimal_to_suboptimal,action_conditioned,chosen_wall_error,0.030612433329224586
optimal_to_suboptimal,action_conditioned,chosen_wall_reports_blocked,0.030610840767621994
optimal_to_suboptimal,action_conditioned,chosen_effect_error,-0.037221722304821014
optimal_to_suboptimal,action_conditioned,chosen_effect_reports_hit,-0.03004484996199608
optimal_to_suboptimal,combined,reasoning_progress,-0.262124240398407
optimal_to_suboptimal,combined,error_wall_left,-0.07149285078048706
optimal_to_suboptimal,combined,error_wall_right,0.08278762549161911
optimal_to_suboptimal,combined,error_wall_up,0.05882621183991432
optimal_to_suboptimal,combined,error_wall_down,0.15270711481571198
