transition_family,model_type,n_trajectories,n_rows,n_positive,positive_rate,roc_auc,brier_score,log_loss,roc_auc_ci_low,roc_auc_ci_high,brier_score_ci_low,brier_score_ci_high,log_loss_ci_low,log_loss_ci_high
optimal_to_suboptimal,prevalence_baseline,31,3427,80,0.023344032681645754,0.5,0.02279908881980401,0.11078260803503466,0.5,0.5,0.012831672248998125,0.03450030954788341,0.07174368537899138,0.15661224179617772
optimal_to_suboptimal,baseline,31,3427,80,0.023344032681645754,0.5694427845832088,0.02280551832198864,0.11047835857976442,0.537222887100212,0.6374876127889804,0.012893249125466702,0.03443974838923867,0.07233086125089859,0.15574622865285706
optimal_to_suboptimal,global_beliefs,31,3427,80,0.023344032681645754,0.5965640872423066,0.02286869115956921,0.11051778403917598,0.5571388089156039,0.6617243328742117,0.012966996927472087,0.03450949156061082,0.07269730916655551,0.15537534591580487
optimal_to_suboptimal,belief_dynamics,31,3427,80,0.023344032681645754,0.5743538990140424,0.022813683615700166,0.11047210503290578,0.531037795653395,0.6568674661612334,0.012946043651430079,0.034479248049567784,0.07241647987548286,0.15657761435848616
optimal_to_suboptimal,global_beliefs_and_dynamics,31,3427,80,0.023344032681645754,0.5666268299970123,0.02284859780702726,0.11141388658350918,0.5214374217270065,0.6491263975651869,0.012887034990474234,0.03456038059118776,0.07277534883780962,0.15781055906242708
optimal_to_suboptimal,action_conditioned,31,3427,80,0.023344032681645754,0.5653813116223484,0.022847105180156767,0.11099474262957817,0.5313262290433534,0.631031268997144,0.012966018880330615,0.03444765233985512,0.07318375704887942,0.15601079713857008
optimal_to_suboptimal,combined,31,3427,80,0.023344032681645754,0.6033892291604422,0.022950589187087502,0.11119650689277975,0.5563478110877862,0.663236293354189,0.013129183677016452,0.03449884341570254,0.07382927935149987,0.15560834728160633
optimal_to_suboptimal,belief_action_chain,31,3427,80,0.023344032681645754,0.6024704959665372,0.022951163225550096,0.11118639990793588,0.557077604162129,0.6613786864016583,0.01311901517088152,0.03451606103289433,0.07363510464115809,0.15572477682534103
suboptimal_to_optimal,prevalence_baseline,17,504,84,0.16666666666666666,0.5,0.1388888888888889,0.45056120886630463,0.5,0.5,0.11434052459655795,0.29703126864780977,0.39129760659582324,0.8323417211861422
suboptimal_to_optimal,baseline,17,504,84,0.16666666666666666,0.6655895691609978,0.14231678171325318,0.44717839450133595,0.5897699104274896,0.8377167379967028,0.11369374686611419,0.27510557528727897,0.36831626042911697,0.7848207723669809
suboptimal_to_optimal,global_beliefs,17,504,84,0.16666666666666666,0.7583616780045351,0.11480460517142338,0.39471189106257926,0.6811893898303961,0.8280185207528957,0.09540689294135406,0.24372927413927417,0.3471682349211245,0.6903879003095652
suboptimal_to_optimal,belief_dynamics,17,504,84,0.16666666666666666,0.6828798185941043,0.1411447347218185,0.4435844141717962,0.6170482980476595,0.8442315686336375,0.11188448924324149,0.2700580779353149,0.36193847922782096,0.7672280999460074
suboptimal_to_optimal,global_beliefs_and_dynamics,17,504,84,0.16666666666666666,0.7501984126984127,0.1196050646887628,0.4060883563689186,0.6882151484828714,0.8293085920414178,0.10106449216928626,0.24186375367094778,0.3542200914854242,0.6886716739609483
suboptimal_to_optimal,action_conditioned,17,504,84,0.16666666666666666,0.6594387755102041,0.15306775486013294,0.4718115835598093,0.5702201238008029,0.838476919718032,0.11061522630647605,0.2686867041677742,0.36028584039917394,0.7715380318821021
suboptimal_to_optimal,combined,17,504,84,0.16666666666666666,0.7356859410430839,0.12173608353101735,0.4093964774584393,0.674380398056546,0.8180716440823721,0.10183674961080305,0.24799901197375449,0.3558842398380503,0.7112493698777549
suboptimal_to_optimal,belief_action_chain,17,504,84,0.16666666666666666,0.7319727891156462,0.12337314582008127,0.41505753062858397,0.6726900483214776,0.8180855560823347,0.10327242763937765,0.2492778033574428,0.3591846406279106,0.7170336234366935
