layer,representation_kind,metric,n_events,mean_delta_at_wrong_turn_vs_previous_3
8,last_token,aligned_change_delta_at_wrong_turn,4,-0.1361872158401021
8,last_token,update_norm_delta_at_wrong_turn,4,-112.81190221916462
8,last_token,adjacent_step_cosine_delta_at_wrong_turn,4,0.08050619019390881
8,last_token,optimality_anchor_cosine_delta_at_wrong_turn,4,0.01235081953127129
8,mean_pool,aligned_change_delta_at_wrong_turn,4,-0.18388212181977756
8,mean_pool,update_norm_delta_at_wrong_turn,4,-70.37007468198591
8,mean_pool,adjacent_step_cosine_delta_at_wrong_turn,4,0.04921638407519194
8,mean_pool,optimality_anchor_cosine_delta_at_wrong_turn,4,-0.0035647915537278807
15,last_token,aligned_change_delta_at_wrong_turn,4,-0.09483183122021757
15,last_token,update_norm_delta_at_wrong_turn,4,-301.32693354804627
15,last_token,adjacent_step_cosine_delta_at_wrong_turn,4,0.05519200756225118
15,last_token,optimality_anchor_cosine_delta_at_wrong_turn,4,0.0023053549272002982
15,mean_pool,aligned_change_delta_at_wrong_turn,4,-0.1467507025653534
15,mean_pool,update_norm_delta_at_wrong_turn,4,-250.14446341292893
15,mean_pool,adjacent_step_cosine_delta_at_wrong_turn,4,0.031652982206865354
15,mean_pool,optimality_anchor_cosine_delta_at_wrong_turn,4,-0.0038644948093293774
23,last_token,aligned_change_delta_at_wrong_turn,4,0.043603611833332945
23,last_token,update_norm_delta_at_wrong_turn,4,-915.4257437194533
23,last_token,adjacent_step_cosine_delta_at_wrong_turn,4,0.03416664653225837
23,last_token,optimality_anchor_cosine_delta_at_wrong_turn,4,0.0063437302407205465
23,mean_pool,aligned_change_delta_at_wrong_turn,4,-0.07442244139994177
23,mean_pool,update_norm_delta_at_wrong_turn,4,-2071.357884187467
23,mean_pool,adjacent_step_cosine_delta_at_wrong_turn,4,0.02548238349406695
23,mean_pool,optimality_anchor_cosine_delta_at_wrong_turn,4,-0.0004932089784334959
