question_id,representation,progress_bucket_10,n_positions,accuracy,balanced_accuracy
has_key,boundary_window_mean,0,48,0.8541666666666666,0.8541666666666666
has_key,boundary_window_mean,1,65,0.6615384615384615,0.6636622390891841
has_key,boundary_window_mean,2,77,0.7272727272727273,0.7293918918918919
has_key,boundary_window_mean,3,68,0.7352941176470589,0.7352941176470589
has_key,boundary_window_mean,4,67,0.5970149253731343,0.5962566844919786
has_key,boundary_window_mean,5,69,0.6231884057971014,0.6235294117647059
has_key,boundary_window_mean,6,67,0.5522388059701493,0.5516934046345812
has_key,boundary_window_mean,7,68,0.6617647058823529,0.661764705882353
has_key,boundary_window_mean,8,77,0.6493506493506493,0.6513513513513514
has_key,boundary_window_mean,9,65,0.6923076923076923,0.6902277039848197
has_key,boundary_window_mean,10,48,0.625,0.625
has_key,last_token,0,48,0.5416666666666666,0.5416666666666667
has_key,last_token,1,65,0.6615384615384615,0.6636622390891841
has_key,last_token,2,77,0.6363636363636364,0.6358108108108108
has_key,last_token,3,68,0.6764705882352942,0.6764705882352942
has_key,last_token,4,67,0.5522388059701493,0.553475935828877
has_key,last_token,5,69,0.6376811594202898,0.6378151260504201
has_key,last_token,6,67,0.5671641791044776,0.5663992869875223
has_key,last_token,7,68,0.7352941176470589,0.7352941176470589
has_key,last_token,8,77,0.6493506493506493,0.6503378378378378
has_key,last_token,9,65,0.6,0.6019924098671727
has_key,last_token,10,48,0.625,0.625
has_key,sentence_mean,0,48,0.6458333333333334,0.6458333333333334
has_key,sentence_mean,1,65,0.7538461538461538,0.7533206831119544
has_key,sentence_mean,2,77,0.7272727272727273,0.7314189189189189
has_key,sentence_mean,3,68,0.75,0.75
has_key,sentence_mean,4,67,0.7164179104477612,0.7170231729055259
has_key,sentence_mean,5,69,0.4782608695652174,0.47941176470588237
has_key,sentence_mean,6,67,0.5970149253731343,0.5962566844919786
has_key,sentence_mean,7,68,0.75,0.75
has_key,sentence_mean,8,77,0.7662337662337663,0.7658783783783785
has_key,sentence_mean,9,65,0.7384615384615385,0.7371916508538899
has_key,sentence_mean,10,48,0.7291666666666666,0.7291666666666667
wall_down,boundary_window_mean,0,48,0.7708333333333334,0.7261904761904762
wall_down,boundary_window_mean,1,65,0.6461538461538462,0.5833333333333333
wall_down,boundary_window_mean,2,77,0.5194805194805194,0.4869281045751634
wall_down,boundary_window_mean,3,68,0.39705882352941174,0.4171374764595104
wall_down,boundary_window_mean,4,67,0.5671641791044776,0.3760593220338983
wall_down,boundary_window_mean,5,69,0.6376811594202898,0.4692622950819672
wall_down,boundary_window_mean,6,67,0.5373134328358209,0.521186440677966
wall_down,boundary_window_mean,7,68,0.5588235294117647,0.46327683615819204
wall_down,boundary_window_mean,8,77,0.5844155844155844,0.5718954248366013
wall_down,boundary_window_mean,9,65,0.5846153846153846,0.49451754385964913
wall_down,boundary_window_mean,10,48,0.5416666666666666,0.30952380952380953
wall_down,last_token,0,48,0.6666666666666666,0.7380952380952381
wall_down,last_token,1,65,0.5692307692307692,0.43201754385964913
wall_down,last_token,2,77,0.6233766233766234,0.642156862745098
wall_down,last_token,3,68,0.5294117647058824,0.4463276836158192
wall_down,last_token,4,67,0.5223880597014925,0.350635593220339
wall_down,last_token,5,69,0.6086956521739131,0.5614754098360656
wall_down,last_token,6,67,0.44776119402985076,0.4163135593220339
wall_down,last_token,7,68,0.6323529411764706,0.6468926553672316
wall_down,last_token,8,77,0.5714285714285714,0.5645424836601307
wall_down,last_token,9,65,0.6307692307692307,0.5208333333333333
wall_down,last_token,10,48,0.6666666666666666,0.4523809523809524
wall_down,sentence_mean,0,48,0.625,0.5714285714285714
wall_down,sentence_mean,1,65,0.676923076923077,0.6008771929824561
wall_down,sentence_mean,2,77,0.7142857142857143,0.5972222222222222
wall_down,sentence_mean,3,68,0.5882352941176471,0.4331450094161958
wall_down,sentence_mean,4,67,0.6119402985074627,0.5095338983050848
wall_down,sentence_mean,5,69,0.6086956521739131,0.507172131147541
wall_down,sentence_mean,6,67,0.746268656716418,0.8019067796610169
wall_down,sentence_mean,7,68,0.7205882352941176,0.603578154425612
wall_down,sentence_mean,8,77,0.7272727272727273,0.5563725490196079
wall_down,sentence_mean,9,65,0.676923076923077,0.6008771929824561
wall_down,sentence_mean,10,48,0.6875,0.6071428571428572
wall_left,boundary_window_mean,0,48,0.5416666666666666,0.5666666666666667
wall_left,boundary_window_mean,1,65,0.49230769230769234,0.5111788617886179
wall_left,boundary_window_mean,2,77,0.5194805194805194,0.5159574468085106
wall_left,boundary_window_mean,3,68,0.7205882352941176,0.7113821138211383
wall_left,boundary_window_mean,4,67,0.6268656716417911,0.6172480620155039
wall_left,boundary_window_mean,5,69,0.6231884057971014,0.5979965156794425
wall_left,boundary_window_mean,6,67,0.6567164179104478,0.631298449612403
wall_left,boundary_window_mean,7,68,0.5882352941176471,0.5573622402890696
wall_left,boundary_window_mean,8,77,0.5974025974025974,0.5918439716312056
wall_left,boundary_window_mean,9,65,0.5230769230769231,0.5096544715447154
wall_left,boundary_window_mean,10,48,0.4791666666666667,0.4722222222222222
wall_left,last_token,0,48,0.5625,0.6055555555555556
wall_left,last_token,1,65,0.5230769230769231,0.5614837398373984
wall_left,last_token,2,77,0.5064935064935064,0.5173758865248227
wall_left,last_token,3,68,0.7352941176470589,0.7362240289069557
wall_left,last_token,4,67,0.6268656716417911,0.6080426356589147
wall_left,last_token,5,69,0.5942028985507246,0.5792682926829269
wall_left,last_token,6,67,0.582089552238806,0.5455426356589147
wall_left,last_token,7,68,0.6176470588235294,0.5880758807588076
wall_left,last_token,8,77,0.5844155844155844,0.575177304964539
wall_left,last_token,9,65,0.5230769230769231,0.4923780487804878
wall_left,last_token,10,48,0.6666666666666666,0.6555555555555556
wall_left,sentence_mean,0,48,0.5833333333333334,0.5888888888888889
wall_left,sentence_mean,1,65,0.6,0.5879065040650406
wall_left,sentence_mean,2,77,0.6623376623376623,0.6570921985815603
wall_left,sentence_mean,3,68,0.7352941176470589,0.7172538392050587
wall_left,sentence_mean,4,67,0.6567164179104478,0.622093023255814
wall_left,sentence_mean,5,69,0.7391304347826086,0.7238675958188154
wall_left,sentence_mean,6,67,0.7164179104477612,0.6778100775193798
wall_left,sentence_mean,7,68,0.6617647058823529,0.6626016260162602
wall_left,sentence_mean,8,77,0.6493506493506493,0.6283687943262412
wall_left,sentence_mean,9,65,0.6615384615384615,0.6539634146341464
wall_left,sentence_mean,10,48,0.5833333333333334,0.5666666666666667
wall_right,boundary_window_mean,0,48,0.5416666666666666,0.534965034965035
wall_right,boundary_window_mean,1,65,0.6153846153846154,0.6058429118773947
wall_right,boundary_window_mean,2,77,0.4675324675324675,0.46169630642954856
wall_right,boundary_window_mean,3,68,0.5735294117647058,0.574106364428945
wall_right,boundary_window_mean,4,67,0.43283582089552236,0.43413978494623656
wall_right,boundary_window_mean,5,69,0.5217391304347826,0.5212224108658743
wall_right,boundary_window_mean,6,67,0.4626865671641791,0.45967741935483875
wall_right,boundary_window_mean,7,68,0.5294117647058824,0.5257192676547515
wall_right,boundary_window_mean,8,77,0.5324675324675324,0.5259917920656635
wall_right,boundary_window_mean,9,65,0.5692307692307692,0.5675287356321839
wall_right,boundary_window_mean,10,48,0.5833333333333334,0.5769230769230769
wall_right,last_token,0,48,0.4791666666666667,0.47377622377622375
wall_right,last_token,1,65,0.5538461538461539,0.553639846743295
