question_id,representation,n_positions,n_states,accuracy,balanced_accuracy,positive_state_fraction
has_key,boundary_window_mean,719,24,0.6564673157162726,0.6564608480346642,0.5
has_key,last_token,719,24,0.6356050069541029,0.6355772206747137,0.5
has_key,sentence_mean,719,24,0.6856745479833102,0.6856275147013309,0.5
wall_down,boundary_window_mean,719,24,0.5674547983310153,0.5042050857225184,0.125
wall_down,last_token,719,24,0.5076495132127955,0.44568505978965567,0.125
wall_down,sentence_mean,719,24,0.5855354659248957,0.5242850453825098,0.125
wall_left,boundary_window_mean,719,24,0.6063977746870653,0.5971746083818585,0.375
wall_left,last_token,719,24,0.5980528511821975,0.584823259247109,0.375
wall_left,sentence_mean,719,24,0.6620305980528511,0.6442220946444681,0.375
wall_right,boundary_window_mean,719,24,0.5702364394993046,0.5685318235064428,0.4583333333333333
wall_right,last_token,719,24,0.5674547983310153,0.5627606403748535,0.4583333333333333
wall_right,sentence_mean,719,24,0.6467315716272601,0.6434478719250293,0.4583333333333333
wall_up,boundary_window_mean,719,24,0.5354659248956884,0.4840813195243575,0.20833333333333334
wall_up,last_token,719,24,0.5396383866481224,0.5003948645050655,0.20833333333333334
wall_up,sentence_mean,719,24,0.5730180806675939,0.5172386561068616,0.20833333333333334
