failure_category,layer,representation_kind,n_trajectories,n_with_identifiable_wrong_turn_and_geometry,median_wrong_turn_progress,mean_aligned_change_at_wrong_turn,mean_aligned_change_delta_vs_previous_3,mean_update_norm_delta_vs_previous_3
avoidable_detour,8,last_token,4,1,0.5384615384615384,-0.023720321234467826,-0.033147686144718067,86.6813769134402
avoidable_detour,8,mean_pool,4,1,0.5384615384615384,-0.15994671838000063,-0.19649665982100462,17.82017900214757
avoidable_detour,15,last_token,4,1,0.5384615384615384,-0.0009230296215716716,-0.00963124984881621,261.27284902004044
avoidable_detour,15,mean_pool,4,1,0.5384615384615384,0.004224761620888672,-0.0029446306039086264,20.10285897839333
avoidable_detour,23,last_token,4,1,0.5384615384615384,0.17479140576467123,0.17470715623532268,6183.702032039226
avoidable_detour,23,mean_pool,4,1,0.5384615384615384,-0.03488839072470344,-0.05831126548378081,-236.53517294233825
backtrack,8,last_token,13,1,0.15625,-0.063713523418393,-0.09686820518483868,-103.15739121332115
backtrack,8,mean_pool,13,1,0.15625,0.046527183203383386,0.013344885746245642,49.9184225037547
backtrack,15,last_token,13,1,0.15625,-0.05183305562853618,-0.05838849365612345,-108.86829408371432
backtrack,15,mean_pool,13,1,0.15625,-0.03524427226146154,-0.07369021926013128,219.8318336858241
backtrack,23,last_token,13,1,0.15625,0.04959790044314594,-0.008791205203026231,-2673.8604599010378
backtrack,23,mean_pool,13,1,0.15625,0.13058755539066266,0.12284550630921694,-365.57147414168867
none,8,last_token,23,1,0.03333333333333333,0.625692460352015,,
none,8,mean_pool,23,1,0.03333333333333333,0.9012112540585375,,
none,15,last_token,23,1,0.03333333333333333,0.6154055270704535,,
none,15,mean_pool,23,1,0.03333333333333333,0.8872575227370291,,
none,23,last_token,23,1,0.03333333333333333,0.38458371481240755,,
none,23,mean_pool,23,1,0.03333333333333333,0.8812826824629253,,
