trajectory_id,source_file,model_name,actual_length,stored_astar_distance,recomputed_optimal_length,length_delta,reached_goal,failed_by_truncation,replay_mismatch_count,model_max_steps_per_trajectory,stored_astar_suspicious,trajectory_class,primary_failure_mode,failure_onset_step_index,selected_step_count,wall_hit_step_count,contains_wall_hit,backtrack_step_count,contains_backtrack,oscillation_step_count,contains_oscillation_2cycle,short_loop_step_count,contains_short_loop,freeze_repeat_step_count,contains_freeze_repeat,avoidable_detour_step_count,contains_avoidable_detour,wall_hit_count,non_optimal_step_count
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0.json,together_ai/openai/gpt-oss-20b,8,8,8,0,True,False,0,30,False,optimal_success,short_loop,2,3,0,False,1,True,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_1.json,together_ai/openai/gpt-oss-20b,9,21,9,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_10.json,together_ai/openai/gpt-oss-20b,12,15,12,0,True,False,0,30,True,optimal_success,backtrack,2,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_11.json,together_ai/openai/gpt-oss-20b,15,30,15,0,True,False,0,30,True,optimal_success,short_loop,5,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_12.json,together_ai/openai/gpt-oss-20b,13,30,13,0,True,False,0,30,True,optimal_success,short_loop,4,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_13.json,together_ai/openai/gpt-oss-20b,4,6,4,0,True,False,0,30,True,optimal_success,backtrack,1,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_14,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_14.json,together_ai/openai/gpt-oss-20b,13,30,13,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_15.json,together_ai/openai/gpt-oss-20b,26,30,18,8,True,False,0,30,True,suboptimal_success,oscillation_2cycle,0,4,0,False,7,True,4,True,0,False,0,False,4,True,0,4
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_16.json,together_ai/openai/gpt-oss-20b,22,30,19,3,True,False,0,30,True,suboptimal_success,wall_hit,11,4,1,True,2,True,1,True,0,False,1,True,1,True,1,2
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_17,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_17.json,together_ai/openai/gpt-oss-20b,10,30,10,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_18,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_18.json,together_ai/openai/gpt-oss-20b,6,30,6,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_19.json,together_ai/openai/gpt-oss-20b,10,21,10,0,True,False,0,30,True,optimal_success,backtrack,3,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_2,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_2.json,together_ai/openai/gpt-oss-20b,14,30,14,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_20.json,together_ai/openai/gpt-oss-20b,20,30,19,1,True,False,0,30,True,suboptimal_success,wall_hit,9,4,1,True,0,False,0,False,2,True,1,True,0,False,1,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_21.json,together_ai/openai/gpt-oss-20b,24,30,24,0,True,False,0,30,True,optimal_success,short_loop,10,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_22,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_22.json,together_ai/openai/gpt-oss-20b,12,30,12,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_23.json,together_ai/openai/gpt-oss-20b,17,30,17,0,True,False,0,30,True,optimal_success,short_loop,7,4,0,False,1,True,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_24,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_24.json,together_ai/openai/gpt-oss-20b,17,30,17,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_25,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_25.json,together_ai/openai/gpt-oss-20b,14,30,14,0,True,False,0,30,True,optimal_success,short_loop,5,3,0,False,1,True,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_26.json,together_ai/openai/gpt-oss-20b,25,30,25,0,True,False,0,30,True,optimal_success,short_loop,8,3,0,False,0,False,0,False,2,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_27,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_27.json,together_ai/openai/gpt-oss-20b,8,30,8,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_29,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_29.json,together_ai/openai/gpt-oss-20b,12,30,12,0,True,False,0,30,True,optimal_success,short_loop,8,3,0,False,1,True,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_30.json,together_ai/openai/gpt-oss-20b,10,30,10,0,True,False,0,30,True,optimal_success,short_loop,5,2,0,False,0,False,0,False,1,True,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_31,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_31.json,together_ai/openai/gpt-oss-20b,11,30,11,0,True,False,0,30,True,optimal_success,backtrack,5,2,0,False,1,True,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_32,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_32.json,together_ai/openai/gpt-oss-20b,12,19,12,0,True,False,0,30,True,optimal_success,none,,0,0,False,0,False,0,False,0,False,0,False,0,False,0,0
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_33.json,together_ai/openai/gpt-oss-20b,13,18,11,2,True,False,0,30,True,suboptimal_success,oscillation_2cycle,2,3,0,False,2,True,1,True,0,False,0,False,1,True,0,1
together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34,data/hf/trajectories_key_door_100/trajectories_key_door/together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_34.json,together_ai/openai/gpt-oss-20b,18,30,16,2,True,False,0,30,True,suboptimal_success,short_loop,6,4,0,False,2,True,0,False,1,True,0,False,1,True,0,1
