model,api_model_id,grid_size,difficulty,reasoning_setting,temperature,trajectories,calls,goal_success_rate,optimal_action_rate,p50_output_tokens_per_call,p95_output_tokens_per_call,max_output_tokens_per_call,p50_total_output_tokens_per_trajectory,p95_total_output_tokens_per_trajectory,max_total_output_tokens_per_trajectory,p50_trajectory_runtime_seconds,p95_trajectory_runtime_seconds,invalid_output_rate,truncation_or_failure_rate,estimated_cost_usd
GPT-OSS-20B,openai/gpt-oss-20b,7,0.0,low,0.0,20,70,1.0,0.9857142857142858,70.5,139.0,189,273.0,504.65000000000003,517,3.3299022375722416,5.513067667474389,0.0,0.0,0.0028337
GPT-OSS-20B,openai/gpt-oss-20b,7,0.0,low,0.7,60,208,1.0,0.9903846153846154,84.5,185.94999999999993,246,300.5,613.5999999999999,772,3.398880952037871,6.25015182972129,0.0,0.0,0.0089514
GPT-OSS-20B,openai/gpt-oss-20b,7,0.2,low,0.0,20,73,1.0,0.9452054794520548,135.0,410.7999999999996,558,412.0,1206.4000000000003,1556,5.138424194563413,10.125861783619623,0.0,0.0,0.00399365
GPT-OSS-20B,openai/gpt-oss-20b,7,0.2,low,0.7,60,201,1.0,0.9800995024875622,128.0,408.0,759,471.5,1532.1999999999998,1865,4.440209903521463,12.604836765761137,0.0,0.0,0.011683250000000001
GPT-OSS-20B,openai/gpt-oss-20b,7,0.4,low,0.0,20,84,1.0,0.9523809523809523,259.5,678.4499999999999,960,872.0,2666.850000000002,5685,8.797149815480225,19.64914677724593,0.0,0.0,0.0068416
GPT-OSS-20B,openai/gpt-oss-20b,7,0.4,low,0.7,60,244,1.0,0.9590163934426229,220.0,672.55,1107,976.0,2595.9499999999994,3353,8.60511691152351,26.207440494725596,0.0,0.0,0.0189548
GPT-OSS-20B,openai/gpt-oss-20b,7,0.6,low,0.0,20,95,0.9,0.7789473684210526,222.0,588.3,931,967.5,3946.1000000000004,4575,8.173754858464235,28.211271963495534,0.0,0.1,0.007366950000000001
GPT-OSS-20B,openai/gpt-oss-20b,7,0.6,low,0.7,60,236,1.0,0.9788135593220338,149.0,611.0,1332,751.0,2314.249999999999,3431,6.138038805976976,23.475676783939708,0.0,0.0,0.0168792
GPT-OSS-20B,openai/gpt-oss-20b,7,0.8,low,0.0,20,112,0.95,0.9196428571428571,337.5,1127.0499999999997,1605,1663.0,9217.4,9472,11.718135226517916,62.55191388748354,0.0,0.05,0.0122716
GPT-OSS-20B,openai/gpt-oss-20b,7,0.8,low,0.7,60,337,0.9666666666666667,0.9166666666666666,347.0,1147.4,1664,1436.0,9986.349999999986,16086,11.926579206483439,83.81935145223099,0.002967359050445104,0.016666666666666666,0.03792385
GPT-OSS-20B,openai/gpt-oss-20b,7,1.0,low,0.0,20,120,1.0,0.975,296.5,839.75,1236,2094.5,5046.8,5328,17.334487133513903,35.702974579043804,0.0,0.0,0.0116794
GPT-OSS-20B,openai/gpt-oss-20b,7,1.0,low,0.7,60,381,0.9666666666666667,0.9396325459317585,321.0,933.0,1337,2008.0,4961.049999999998,13600,18.169776384485886,41.606443132279665,0.0,0.03333333333333333,0.03771065
