experiment,producer,primary_upstream_dependencies,artifact_path,artifact_role,bytes,sha256,intended_remote
reasoning_topology_v1,scripts/run_reasoning_topology.py,data/behavioral_probes/reasoning_belief_action_cohorts/matched_46_candidates.csv; outputs/activation_collection/gpt_oss_20b_boundary_v1/,outputs/hypothesis_tests/reasoning_topology_v1/paired_summary.csv,derived_table,2178,ec48181b69a6cc4f1df4c6b1bb662be6ec80fb9077de4a9287f1848dde01d245,GitHub origin/feat/counterfactual-patching
reasoning_topology_v1,scripts/run_reasoning_topology.py,data/behavioral_probes/reasoning_belief_action_cohorts/matched_46_candidates.csv; outputs/activation_collection/gpt_oss_20b_boundary_v1/,outputs/hypothesis_tests/reasoning_topology_v1/run_manifest.json,provenance_manifest,796,5eed01b1efcfdf4731ecb6915efdde2f3c32f4868cc0c3d8ad14ec95d4a94fd2,GitHub origin/feat/counterfactual-patching
reasoning_topology_v1,scripts/run_reasoning_topology.py,data/behavioral_probes/reasoning_belief_action_cohorts/matched_46_candidates.csv; outputs/activation_collection/gpt_oss_20b_boundary_v1/,outputs/hypothesis_tests/reasoning_topology_v1/run_report.md,report_or_guide,1887,91d6412a68606f80e722daef05369e31f6a47c562069d7c8c6de1a07233f03f1,GitHub origin/feat/counterfactual-patching
reasoning_topology_v1,scripts/run_reasoning_topology.py,data/behavioral_probes/reasoning_belief_action_cohorts/matched_46_candidates.csv; outputs/activation_collection/gpt_oss_20b_boundary_v1/,outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,derived_table,32990,5e5d399bf08a916c11911f101bf44814716980a6b488ab99751c8fb5c1409eec,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/activation_overlay.csv,derived_table,955,450469d9a914c669e755eedf69f7955d2185179fe1c569a5764973f8a43de2f8,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/failure_control_summary.csv,derived_table,918,ecafa2c541bc4281ff325d4ddb94a76b1b4a37cb83cbda6a3273e514197d57d8,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/graph_edges.csv,derived_table,2159,6040f74451465397dab38f034ca2ab8bf7eefcb5e5ffe50a4171db887ba6330c,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/predictive_closure_summary.csv,derived_table,975,cc48059c7d3124064e15cd242b99b4679e515aef2f87cb092f7ea3640d100019,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/predictive_rows.csv,row_level_derived_output,5159096,4a158b1b95742caa25c97ff021bae955f72329bcabae508418cbeb67c7274691,GitHub origin/feat/counterfactual-patching
reasoning_regime_coarse_graining_v1,scripts/run_reasoning_regime_coarse_graining.py,outputs/hypothesis_tests/action_distribution_change_points_v1/position_distribution_metrics.csv; outputs/hypothesis_tests/reasoning_topology_v1/trace_metrics.csv,outputs/hypothesis_tests/reasoning_regime_coarse_graining_v1/regime_positions.csv,row_level_derived_output,5733823,5d032735b8a9704fbfd7ea9ff502d0c4e5671b07292efb60197d42b2bf2f1987,GitHub origin/feat/counterfactual-patching
