group,relative_commitment_offset,n_states,n_prefixes,median_action_entropy_bits,q25_action_entropy_bits,q75_action_entropy_bits,median_action_confidence,q25_action_confidence,q75_action_confidence,median_state_belief_entropy_bits,mean_sentence_char_length,mean_action_probability_sum
all,-10,44,44,0.3817627769010885,0.1073538890552058,0.6953960788937884,0.9337931871414185,0.8411804139614105,0.9863753616809845,0.40571585439304203,40.95454545454545,1.0000000100238482
all,-9,44,44,0.33404053402047973,0.1054159150484449,0.8529572692250479,0.9428401291370392,0.7444549351930618,0.9863079488277434,0.3802816415608769,40.56818181818182,1.0000000000237053
all,-8,44,44,0.43210124113459003,0.11823884992064534,0.961347498547599,0.9270050227642059,0.689620703458786,0.9842458963394166,0.39864398681945157,42.13636363636363,0.999999993353228
all,-7,44,44,0.40385790897881035,0.12545611450978778,0.9339859281542084,0.9273307025432587,0.7623571455478668,0.9833212047815323,0.40386579476765655,47.86363636363637,0.9999999966896024
all,-6,45,45,0.4060277515756311,0.1121934826997014,0.9376179413483456,0.9224690794944764,0.7488616108894348,0.9863333106040956,0.388928761811102,38.355555555555554,1.0000000038133865
all,-5,45,45,0.3901854088238238,0.11430125753321,0.8696529846622503,0.9335338473320008,0.7437379360198975,0.9866008162498474,0.4196289457272819,51.24444444444445,0.999999992335626
all,-4,45,45,0.5410533667468695,0.1820550225914901,0.9127681713132404,0.8914377093315125,0.7397491931915283,0.9725815057754515,0.4038035102515502,38.422222222222224,1.0000000002682135
all,-3,45,45,0.5547743822553171,0.1458823631071242,0.9653890732704824,0.8758568167686462,0.6701636910438538,0.9809978604316713,0.3947585598176199,42.4,0.9999999953410821
all,-2,45,45,0.8243363941777716,0.4395363648574211,0.9804676683067176,0.7752730846405029,0.6712544560432434,0.9239461421966552,0.4008113324432159,45.53333333333333,0.9999999997219741
all,-1,45,45,0.9453977875146716,0.4885453750640932,1.007721331864314,0.6691405177116394,0.5881551504135132,0.8947458863258362,0.3414479825998236,58.266666666666666,1.0000000017978896
all,0,46,46,0.6118434604448826,0.14129359239248818,0.944770147172769,0.866245836019516,0.6705978065729141,0.9814548343420028,0.35378053624279954,49.76086956521739,0.9999999912106571
all,1,46,46,0.2448457103388452,0.03759546528568958,0.7672502469380058,0.9645277559757233,0.8107616901397705,0.9963396787643432,0.3469983093127872,38.17391304347826,1.000000003402888
all,2,46,46,0.09905705613657675,0.005416986124862225,0.6422490512046816,0.9882634878158569,0.8517200946807861,0.9996043145656586,0.3518297677038122,41.369565217391305,0.9999999938668741
all,3,44,44,0.08872451327252259,0.005609513876745375,0.6133093281669946,0.9894050061702728,0.8825099617242813,0.9995548874139785,0.3158056091284029,33.93181818181818,1.0000000048082731
