group,measure,n_states_with_value,mean,median,bootstrap_mean_ci_low,bootstrap_mean_ci_high,note
all,pre_action_entropy_mean,45,0.6550166472426664,0.6093148880711652,0.5483394424735063,0.7737333563984119,
all,commitment_action_entropy,46,0.5665655337683367,0.6118434604448826,0.434228003939945,0.6882752590936935,
all,post_action_entropy_mean,46,0.3063953567878415,0.17445362335189674,0.2110360744474202,0.4138768976218917,
all,delta_commitment_minus_pre_action_entropy,45,-0.08235747429764072,-0.04538625192724318,-0.22847103456498433,0.06313890293860487,
all,delta_post_minus_pre_action_entropy,45,-0.3559158031296045,-0.26107402259645596,-0.4708890747390159,-0.24585480976942098,
all,pre_action_confidence_mean,45,0.7981505182054308,0.8141362071037292,0.7586101789308921,0.8346035504043101,
all,commitment_action_confidence,46,0.8232181383215863,0.866245836019516,0.7734581085650818,0.8721055992271589,
all,post_action_confidence_mean,46,0.9218640238046645,0.9713339701294899,0.8928740838574974,0.9491291710831549,
all,delta_post_minus_pre_action_confidence,45,0.12465147217114768,0.10828434228897088,0.0873503718359603,0.1630261488010486,
all,pre_state_belief_entropy_mean,45,0.40215081221628346,0.3750940177681644,0.3618547327195862,0.4462741008572463,
all,commitment_state_belief_entropy,46,0.3763035590495565,0.35378053624279954,0.32854691808907005,0.42410268986052385,
all,post_state_belief_entropy_mean,46,0.3561668927961481,0.31933330872805393,0.3072969602516201,0.4060696531539586,
all,delta_post_minus_pre_state_belief_entropy,45,-0.04401349161090217,-0.03814329730198707,-0.08380588092638092,-0.00042230816439794153,
all,pre_low_action_entropy_rate,45,0.17333333333333334,0.0,0.08888888888888889,0.2666666666666667,
failure,pre_action_entropy_mean,23,0.6417487030099671,0.6506481351687892,0.48277231494775713,0.7945894775680614,
failure,commitment_action_entropy,23,0.5515776212765726,0.6241313083022764,0.3673605113418454,0.7276343591111639,
failure,post_action_entropy_mean,23,0.3506332512068544,0.1375952496888811,0.1915193072200415,0.5369041844472072,
failure,delta_commitment_minus_pre_action_entropy,23,-0.09017108173339461,-0.08234642592058877,-0.2834417277201181,0.11639061027375504,
failure,delta_post_minus_pre_action_entropy,23,-0.2911154518031127,-0.18903053056153174,-0.46038533778200824,-0.13456020960831802,
failure,pre_action_confidence_mean,23,0.8026227733363277,0.8099855422973633,0.7537410171394763,0.8531250638611937,
failure,commitment_action_confidence,23,0.830741936745851,0.8560011386871338,0.7640430022193038,0.8943666568916777,
failure,post_action_confidence_mean,23,0.9065894006387046,0.9756200462579727,0.8571568187617735,0.9521385538772397,
failure,delta_post_minus_pre_action_confidence,23,0.10396662730237713,0.08775945901870719,0.05748653094729654,0.15261957034792584,
failure,pre_state_belief_entropy_mean,23,0.4235601705527728,0.4166405637649485,0.353298370233522,0.4988346864890947,
failure,commitment_state_belief_entropy,23,0.3930279103979341,0.3578951328331112,0.311632799142835,0.4834854968930759,
failure,post_state_belief_entropy_mean,23,0.384083390458785,0.34266662103427875,0.2906517983384854,0.47297258486481153,
failure,delta_post_minus_pre_state_belief_entropy,23,-0.0394767800939877,-0.04781958296453609,-0.10603702368104137,0.03800523118070641,
failure,pre_low_action_entropy_rate,23,0.2,0.0,0.0782608695652174,0.3391304347826087,
control,pre_action_entropy_mean,22,0.6688876798495792,0.5460446617520209,0.5026185290192645,0.8547619198906217,
control,commitment_action_entropy,23,0.5815534462601013,0.5452223599731225,0.4098808062606094,0.7521295885325626,
control,post_action_entropy_mean,23,0.2621574623688285,0.20119972740235842,0.1545252220122625,0.3757804476860488,
control,delta_commitment_minus_pre_action_entropy,22,-0.0741887028875343,-0.010611292425162872,-0.287649676028877,0.10758546999541098,
control,delta_post_minus_pre_action_entropy,22,-0.42366162497093707,-0.34223768031569907,-0.5879436327687868,-0.27237105886620194,
control,pre_action_confidence_mean,22,0.7934749787504022,0.8401573002338409,0.7295593119209464,0.8553754921867089,
control,commitment_action_confidence,23,0.8156943398973217,0.8764905333518982,0.742684443100639,0.8886673176418179,
control,post_action_confidence_mean,23,0.9371386469706244,0.9670478940010071,0.9024995882388042,0.9664843128394819,
control,delta_post_minus_pre_action_confidence,22,0.14627653726122594,0.10898040533065789,0.08984747861935335,0.20726692881773814,
control,pre_state_belief_entropy_mean,22,0.37976830122813554,0.3658060143050571,0.33935350555022686,0.422707695610144,
control,commitment_state_belief_entropy,23,0.35957920770117885,0.3351336525946705,0.3150867218887782,0.40618792464066816,
control,post_state_belief_entropy_mean,23,0.32825039513351134,0.31819681063588523,0.28467897550409715,0.37116151237670536,
control,delta_post_minus_pre_state_belief_entropy,22,-0.04875641728767637,-0.035811664886262695,-0.09358870333962709,-0.0046119651765715395,
control,pre_low_action_entropy_rate,22,0.14545454545454548,0.0,0.045454545454545456,0.26363636363636367,
all,tied_optimal_action_split,0,,,,,Not computed: position_rows.csv does not contain optimal_actions_json.
all,raw_candidate_probability_mass,0,,,,,"Not computed: action_probabilities_json is normalized over UP, DOWN, LEFT, and RIGHT."
