matched_role,bin_left,bin_right,n_prefixes,mean_state_belief_entropy_bits
failure,0.0,0.1,435,0.327295045812224
failure,0.1,0.2,407,0.33115649410814146
failure,0.2,0.30000000000000004,387,0.4131392001570133
failure,0.30000000000000004,0.4,357,0.46503380183434023
failure,0.4,0.5,318,0.4725364291712304
failure,0.5,0.6000000000000001,337,0.5358795812734566
failure,0.6000000000000001,0.7000000000000001,357,0.48257072556503217
failure,0.7000000000000001,0.8,345,0.4551226588891075
failure,0.8,0.9,358,0.43081923207785644
failure,0.9,1.0,388,0.35623560185508346
control,0.0,0.1,407,0.2838352876581751
control,0.1,0.2,377,0.3352659705740055
control,0.2,0.30000000000000004,340,0.4019844455006787
control,0.30000000000000004,0.4,316,0.4644378531357872
control,0.4,0.5,314,0.5044489754822642
control,0.5,0.6000000000000001,310,0.5453142063759964
control,0.6000000000000001,0.7000000000000001,291,0.5249003164190619
control,0.7000000000000001,0.8,327,0.46563805156917926
control,0.8,0.9,343,0.43299141659661705
control,0.9,1.0,372,0.3470415800984225
