event_type,previous_action,current_action,n_transitions,fraction_within_event_type
action_change,UP,UP,0,0.0
action_change,UP,DOWN,17,0.024926686217008796
action_change,UP,LEFT,92,0.1348973607038123
action_change,UP,RIGHT,114,0.16715542521994134
action_change,DOWN,UP,12,0.017595307917888565
action_change,DOWN,DOWN,0,0.0
action_change,DOWN,LEFT,37,0.054252199413489736
action_change,DOWN,RIGHT,37,0.054252199413489736
action_change,LEFT,UP,85,0.12463343108504399
action_change,LEFT,DOWN,34,0.04985337243401759
action_change,LEFT,LEFT,0,0.0
action_change,LEFT,RIGHT,35,0.051319648093841645
action_change,RIGHT,UP,141,0.20674486803519063
action_change,RIGHT,DOWN,43,0.06304985337243402
action_change,RIGHT,LEFT,35,0.051319648093841645
action_change,RIGHT,RIGHT,0,0.0
suboptimal_to_optimal,UP,UP,0,0.0
suboptimal_to_optimal,UP,DOWN,12,0.06593406593406594
suboptimal_to_optimal,UP,LEFT,20,0.10989010989010989
suboptimal_to_optimal,UP,RIGHT,20,0.10989010989010989
suboptimal_to_optimal,DOWN,UP,3,0.016483516483516484
suboptimal_to_optimal,DOWN,DOWN,0,0.0
suboptimal_to_optimal,DOWN,LEFT,6,0.03296703296703297
suboptimal_to_optimal,DOWN,RIGHT,15,0.08241758241758242
suboptimal_to_optimal,LEFT,UP,11,0.06043956043956044
suboptimal_to_optimal,LEFT,DOWN,12,0.06593406593406594
suboptimal_to_optimal,LEFT,LEFT,0,0.0
suboptimal_to_optimal,LEFT,RIGHT,16,0.08791208791208792
suboptimal_to_optimal,RIGHT,UP,40,0.21978021978021978
suboptimal_to_optimal,RIGHT,DOWN,8,0.04395604395604396
suboptimal_to_optimal,RIGHT,LEFT,19,0.1043956043956044
suboptimal_to_optimal,RIGHT,RIGHT,0,0.0
sustained_optimal_to_suboptimal,UP,UP,0,0.0
sustained_optimal_to_suboptimal,UP,DOWN,2,0.017391304347826087
sustained_optimal_to_suboptimal,UP,LEFT,8,0.06956521739130435
sustained_optimal_to_suboptimal,UP,RIGHT,15,0.13043478260869565
sustained_optimal_to_suboptimal,DOWN,UP,5,0.043478260869565216
sustained_optimal_to_suboptimal,DOWN,DOWN,0,0.0
sustained_optimal_to_suboptimal,DOWN,LEFT,11,0.09565217391304348
sustained_optimal_to_suboptimal,DOWN,RIGHT,5,0.043478260869565216
sustained_optimal_to_suboptimal,LEFT,UP,14,0.12173913043478261
sustained_optimal_to_suboptimal,LEFT,DOWN,4,0.034782608695652174
sustained_optimal_to_suboptimal,LEFT,LEFT,0,0.0
sustained_optimal_to_suboptimal,LEFT,RIGHT,12,0.10434782608695652
sustained_optimal_to_suboptimal,RIGHT,UP,15,0.13043478260869565
sustained_optimal_to_suboptimal,RIGHT,DOWN,11,0.09565217391304348
sustained_optimal_to_suboptimal,RIGHT,LEFT,13,0.11304347826086956
sustained_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
transient_optimal_to_suboptimal,UP,UP,0,0.0
transient_optimal_to_suboptimal,UP,DOWN,1,0.021739130434782608
transient_optimal_to_suboptimal,UP,LEFT,4,0.08695652173913043
transient_optimal_to_suboptimal,UP,RIGHT,14,0.30434782608695654
transient_optimal_to_suboptimal,DOWN,UP,2,0.043478260869565216
transient_optimal_to_suboptimal,DOWN,DOWN,0,0.0
transient_optimal_to_suboptimal,DOWN,LEFT,2,0.043478260869565216
transient_optimal_to_suboptimal,DOWN,RIGHT,1,0.021739130434782608
transient_optimal_to_suboptimal,LEFT,UP,4,0.08695652173913043
transient_optimal_to_suboptimal,LEFT,DOWN,0,0.0
transient_optimal_to_suboptimal,LEFT,LEFT,0,0.0
transient_optimal_to_suboptimal,LEFT,RIGHT,5,0.10869565217391304
transient_optimal_to_suboptimal,RIGHT,UP,7,0.15217391304347827
transient_optimal_to_suboptimal,RIGHT,DOWN,5,0.10869565217391304
transient_optimal_to_suboptimal,RIGHT,LEFT,1,0.021739130434782608
transient_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
