event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_consequence,161,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_consequence,161,15,0,0.0,0,0.0,1,0.006211180124223602,1,0.006211180124223602,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_right,action_consequence,161,37,1,0.006211180124223602,0,0.0,0,0.0,1,0.006211180124223602,1,0.02702702702702703,0.972972972972973
optimal_to_suboptimal,belief_error_onset,door_open_after_up,action_consequence,161,50,0,0.0,2,0.012422360248447204,1,0.006211180124223602,3,0.018633540372670808,2,0.04,0.96
optimal_to_suboptimal,belief_error_onset,has_key,task_state,161,20,0,0.0,1,0.006211180124223602,2,0.012422360248447204,2,0.012422360248447204,1,0.05,0.95
optimal_to_suboptimal,belief_error_onset,has_key_after_down,action_consequence,161,10,1,0.006211180124223602,0,0.0,0,0.0,1,0.006211180124223602,1,0.1,0.9
optimal_to_suboptimal,belief_error_onset,has_key_after_left,action_consequence,161,36,1,0.006211180124223602,0,0.0,0,0.0,1,0.006211180124223602,1,0.027777777777777776,0.9722222222222222
optimal_to_suboptimal,belief_error_onset,has_key_after_right,action_consequence,161,19,0,0.0,0,0.0,1,0.006211180124223602,1,0.006211180124223602,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_consequence,161,25,2,0.012422360248447204,0,0.0,0,0.0,2,0.012422360248447204,2,0.08,0.92
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_consequence,161,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_consequence,161,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_consequence,161,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_down,adjacent_wall,161,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_left,adjacent_wall,161,33,5,0.031055900621118012,2,0.012422360248447204,4,0.024844720496894408,9,0.055900621118012424,7,0.21212121212121213,0.7878787878787878
optimal_to_suboptimal,belief_error_onset,wall_right,adjacent_wall,161,10,4,0.024844720496894408,0,0.0,1,0.006211180124223602,5,0.031055900621118012,4,0.4,0.6
optimal_to_suboptimal,belief_error_onset,wall_up,adjacent_wall,161,3,1,0.006211180124223602,0,0.0,2,0.012422360248447204,3,0.018633540372670808,1,0.3333333333333333,0.6666666666666667
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_consequence,182,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,action_consequence,182,15,1,0.005494505494505495,0,0.0,0,0.0,1,0.005494505494505495,1,0.06666666666666667,0.9333333333333333
suboptimal_to_optimal,belief_error_recovery,door_open_after_right,action_consequence,182,37,1,0.005494505494505495,0,0.0,0,0.0,1,0.005494505494505495,1,0.02702702702702703,0.972972972972973
suboptimal_to_optimal,belief_error_recovery,door_open_after_up,action_consequence,182,50,2,0.01098901098901099,0,0.0,1,0.005494505494505495,3,0.016483516483516484,2,0.04,0.96
suboptimal_to_optimal,belief_error_recovery,has_key,task_state,182,19,1,0.005494505494505495,0,0.0,0,0.0,1,0.005494505494505495,1,0.05263157894736842,0.9473684210526316
suboptimal_to_optimal,belief_error_recovery,has_key_after_down,action_consequence,182,12,0,0.0,0,0.0,1,0.005494505494505495,1,0.005494505494505495,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_left,action_consequence,182,43,0,0.0,0,0.0,2,0.01098901098901099,2,0.01098901098901099,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_right,action_consequence,182,22,0,0.0,0,0.0,1,0.005494505494505495,1,0.005494505494505495,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_consequence,182,40,0,0.0,0,0.0,5,0.027472527472527472,5,0.027472527472527472,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_consequence,182,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_consequence,182,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_consequence,182,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_down,adjacent_wall,182,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_left,adjacent_wall,182,33,5,0.027472527472527472,2,0.01098901098901099,4,0.02197802197802198,9,0.04945054945054945,8,0.24242424242424243,0.7575757575757576
suboptimal_to_optimal,belief_error_recovery,wall_right,adjacent_wall,182,10,2,0.01098901098901099,1,0.005494505494505495,2,0.01098901098901099,5,0.027472527472527472,3,0.3,0.7
suboptimal_to_optimal,belief_error_recovery,wall_up,adjacent_wall,182,3,1,0.005494505494505495,0,0.0,1,0.005494505494505495,2,0.01098901098901099,1,0.3333333333333333,0.6666666666666667
