transition_family,model_type,reference_type,roc_auc_difference,brier_score_difference,log_loss_difference,n_paired_rows,roc_auc_difference_ci_low,roc_auc_difference_ci_high,brier_score_difference_ci_low,brier_score_difference_ci_high,log_loss_difference_ci_low,log_loss_difference_ci_high
optimal_to_suboptimal,baseline,prevalence_baseline,0.10347195635528328,-6.397868509760984e-05,-0.0015183463851808077,5384,0.027098353285286543,0.21008651964369554,-0.00025044452350903327,0.00019582299674987874,-0.004418333961850671,0.0019912355330971845
optimal_to_suboptimal,global_beliefs,prevalence_baseline,0.05287614854517608,7.00450713181193e-05,0.0012047886468757596,5384,-0.04819715526781053,0.20640620648474609,-0.0002512811057650818,0.00038689014577754615,-0.004811567447956105,0.007200208642540207
optimal_to_suboptimal,global_beliefs,baseline,-0.050595807810107196,0.00013402375641572914,0.0027231350320565673,5384,-0.11214122670840648,0.031541672499970204,-7.773416279061324e-05,0.00034472231595062173,-0.0014793857576251839,0.0073181014115339385
optimal_to_suboptimal,belief_dynamics,prevalence_baseline,0.09999102699081164,-5.223139696726095e-05,-0.0014773705513606017,5384,0.024844033491322345,0.20361643664104476,-0.00022039407854951374,0.00018603897347703788,-0.004158817683463659,0.0019718943193290594
optimal_to_suboptimal,belief_dynamics,baseline,-0.003480929364471641,1.1747288130348893e-05,4.0975833820205976e-05,5384,-0.012150173751063009,0.0027539228637177967,-4.305459216506743e-05,9.176498143736574e-05,-0.0002876944974757278,0.00042411433132811876
optimal_to_suboptimal,global_beliefs_and_dynamics,prevalence_baseline,0.05189509954058191,6.455591055977428e-05,0.0010607591519360693,5384,-0.04559295781863183,0.20559709292048933,-0.00023281218192405988,0.00036048101086863304,-0.004658208932670898,0.00691696443128029
optimal_to_suboptimal,global_beliefs_and_dynamics,baseline,-0.051576856814701366,0.00012853459565738412,0.002579105537116877,5384,-0.11169009504504065,0.03244578940303463,-7.456620630482196e-05,0.00033474296621927507,-0.0016845707357811483,0.007107176812328623
optimal_to_suboptimal,action_conditioned,prevalence_baseline,0.10703842840735067,0.00026181455841614576,-7.318540568862497e-05,5384,0.03160609295851316,0.2108065282287095,-0.0003652796550401258,0.0009287038418128479,-0.004583862037435577,0.00646451252375435
optimal_to_suboptimal,action_conditioned,baseline,0.003566472052067393,0.0003257932435137556,0.0014451609794921827,5384,-0.0009887584081886335,0.008300160360310876,-0.00022100836646466007,0.0008272992530631806,-0.0009470276980920414,0.00509212839110951
optimal_to_suboptimal,combined,prevalence_baseline,0.06021607006125573,0.00017562291672061636,0.0009493618200571985,5384,-0.03798240886401692,0.21326150064816563,-0.00037246148617426186,0.00073813024980365,-0.00531049478577985,0.00741856251845393
optimal_to_suboptimal,combined,baseline,-0.043255886294027546,0.0002396016018182262,0.002467708205238006,5384,-0.10326011417899016,0.03752102994107756,-0.00024234661127999104,0.0007302883727728706,-0.002131454355295413,0.007526717863958689
