event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,agent_location,coordinates,6,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open,core,6,40,3,0.5,2,0.3333333333333333,3,0.5,6,1.0,5,0.125,0.875
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_effects,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_effects,6,4,1,0.16666666666666666,0,0.0,1,0.16666666666666666,2,0.3333333333333333,1,0.25,0.75
optimal_to_suboptimal,belief_error_onset,door_open_after_right,action_effects,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_up,action_effects,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,goal_location,coordinates,6,5,0,0.0,0,0.0,1,0.16666666666666666,1,0.16666666666666666,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key,core,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_down,action_effects,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_left,action_effects,6,1,0,0.0,1,0.16666666666666666,0,0.0,1,0.16666666666666666,1,1.0,0.0
optimal_to_suboptimal,belief_error_onset,has_key_after_right,action_effects,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_effects,6,1,1,0.16666666666666666,0,0.0,0,0.0,1,0.16666666666666666,1,1.0,0.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_down,action_effects,6,15,0,0.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_effects,6,5,1,0.16666666666666666,1,0.16666666666666666,2,0.3333333333333333,3,0.5,2,0.4,0.6
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_effects,6,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_effects,6,7,1,0.16666666666666666,0,0.0,2,0.3333333333333333,2,0.3333333333333333,1,0.14285714285714285,0.8571428571428572
optimal_to_suboptimal,belief_error_onset,wall_down,wall_directional,6,19,0,0.0,1,0.16666666666666666,0,0.0,1,0.16666666666666666,1,0.05263157894736842,0.9473684210526316
optimal_to_suboptimal,belief_error_onset,wall_left,wall_directional,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_right,wall_directional,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_up,wall_directional,6,19,0,0.0,1,0.16666666666666666,0,0.0,1,0.16666666666666666,1,0.05263157894736842,0.9473684210526316
suboptimal_to_optimal,belief_error_recovery,agent_location,coordinates,9,15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open,core,9,36,4,0.4444444444444444,0,0.0,3,0.3333333333333333,5,0.5555555555555556,4,0.1111111111111111,0.8888888888888888
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_effects,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,action_effects,9,3,1,0.1111111111111111,1,0.1111111111111111,0,0.0,2,0.2222222222222222,2,0.6666666666666666,0.33333333333333337
suboptimal_to_optimal,belief_error_recovery,door_open_after_right,action_effects,9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_up,action_effects,9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,goal_location,coordinates,9,5,0,0.0,0,0.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key,core,9,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_down,action_effects,9,4,1,0.1111111111111111,0,0.0,0,0.0,1,0.1111111111111111,1,0.25,0.75
suboptimal_to_optimal,belief_error_recovery,has_key_after_left,,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_right,action_effects,9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_effects,9,1,0,0.0,1,0.1111111111111111,0,0.0,1,0.1111111111111111,1,1.0,0.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_down,action_effects,9,13,1,0.1111111111111111,1,0.1111111111111111,1,0.1111111111111111,2,0.2222222222222222,1,0.07692307692307693,0.9230769230769231
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_effects,9,4,1,0.1111111111111111,0,0.0,1,0.1111111111111111,2,0.2222222222222222,1,0.25,0.75
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_effects,9,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_effects,9,7,0,0.0,1,0.1111111111111111,2,0.2222222222222222,2,0.2222222222222222,1,0.14285714285714285,0.8571428571428572
suboptimal_to_optimal,belief_error_recovery,wall_down,wall_directional,9,20,1,0.1111111111111111,3,0.3333333333333333,0,0.0,4,0.4444444444444444,3,0.15,0.85
suboptimal_to_optimal,belief_error_recovery,wall_left,wall_directional,9,4,1,0.1111111111111111,1,0.1111111111111111,0,0.0,2,0.2222222222222222,1,0.25,0.75
suboptimal_to_optimal,belief_error_recovery,wall_right,wall_directional,9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_up,wall_directional,9,18,0,0.0,1,0.1111111111111111,0,0.0,1,0.1111111111111111,1,0.05555555555555555,0.9444444444444444
