outcome,outcome_description,factorized_feature,feature_description,n_with_feature,n_without_feature,events_with_feature,events_without_feature,event_rate_with_feature,event_rate_without_feature,risk_difference,smoothed_odds_ratio
action_change_next,Recommended action changes at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,18,231,0,26,0.0,0.11255411255411256,-0.11255411255411256,0.20958694543600204
action_change_next,Recommended action changes at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,18,231,0,26,0.0,0.11255411255411256,-0.11255411255411256,0.20958694543600204
action_change_next,Recommended action changes at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,3,246,0,26,0.0,0.10569105691056911,-0.10569105691056911,1.1886792452830188
action_change_next,Recommended action changes at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,101,148,6,20,0.0594059405940594,0.13513513513513514,-0.07572919454107574,0.426637721874601
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,18,231,0,6,0.0,0.025974025974025976,-0.025974025974025976,0.9376299376299376
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,18,231,0,6,0.0,0.025974025974025976,-0.025974025974025976,0.9376299376299376
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,3,246,0,6,0.0,0.024390243902439025,-0.024390243902439025,5.285714285714286
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,101,148,1,5,0.009900990099009901,0.033783783783783786,-0.023882793684773883,0.3894165535956581
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,18,231,0,9,0.0,0.03896103896103896,-0.03896103896103896,0.6330014224751067
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,18,231,0,9,0.0,0.03896103896103896,-0.03896103896103896,0.6330014224751067
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,3,246,0,9,0.0,0.036585365853658534,-0.036585365853658534,3.5714285714285716
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,101,148,4,5,0.039603960396039604,0.033783783783783786,0.005820176612255819,1.2041958041958043
