question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,249,0,22,6,221,0.0,1.0,1.0
door_location,coordinates,249,0,0,6,243,nan,1.0,1.0
door_open,core,249,2,138,4,105,0.3804347826086957,0.40875818443978296,1.0
door_open_after_down,action_effects,87,0,1,1,85,0.0,1.0,1.0
door_open_after_left,action_effects,39,1,15,2,21,0.7,1.0,1.0
door_open_after_right,action_effects,88,0,2,0,86,nan,1.0,1.0
door_open_after_up,action_effects,35,0,1,2,32,0.0,1.0,1.0
goal_location,coordinates,249,0,6,6,237,0.0,1.0,1.0
has_key,core,249,0,4,6,239,0.0,1.0,1.0
has_key_after_down,action_effects,87,0,4,1,82,0.0,1.0,1.0
has_key_after_left,action_effects,39,0,1,3,35,0.0,1.0,1.0
has_key_after_right,action_effects,86,0,2,0,84,nan,1.0,1.0
has_key_after_up,action_effects,35,1,0,1,33,inf,0.05714285714285714,1.0
hit_wall_after_down,action_effects,87,0,39,1,47,0.0,1.0,1.0
hit_wall_after_left,action_effects,39,0,12,3,24,0.0,0.539118065433855,1.0
hit_wall_after_right,action_effects,88,0,35,0,53,nan,1.0,1.0
hit_wall_after_up,action_effects,35,1,11,1,22,2.0,1.0,1.0
key_location,coordinates,249,0,0,6,243,nan,1.0,1.0
wall_down,wall_directional,249,0,33,6,210,0.0,1.0,1.0
wall_left,wall_directional,249,0,6,6,237,0.0,1.0,1.0
wall_right,wall_directional,249,0,2,6,241,0.0,1.0,1.0
wall_up,wall_directional,249,0,26,6,217,0.0,1.0,1.0
