transition_family,model_type,feature,standardized_coefficient
optimal_to_suboptimal,baseline,reasoning_progress,-0.3824361264705658
optimal_to_suboptimal,global_beliefs,reasoning_progress,-0.33896270394325256
optimal_to_suboptimal,global_beliefs,error_wall_left,-0.04773034527897835
optimal_to_suboptimal,global_beliefs,error_wall_right,-0.03736494854092598
optimal_to_suboptimal,global_beliefs,error_wall_up,-0.1616104394197464
optimal_to_suboptimal,global_beliefs,error_wall_down,-0.18482790887355804
optimal_to_suboptimal,global_beliefs,error_has_key,-0.04570062458515167
optimal_to_suboptimal,belief_dynamics,reasoning_progress,-0.3855980932712555
optimal_to_suboptimal,belief_dynamics,n_global_belief_changes,-0.0021328511647880077
optimal_to_suboptimal,belief_dynamics,n_global_error_onsets,-0.19013550877571106
optimal_to_suboptimal,belief_dynamics,n_global_error_recoveries,0.20410947501659393
optimal_to_suboptimal,global_beliefs_and_dynamics,reasoning_progress,-0.3598552346229553
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_left,-0.04302062839269638
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_right,-0.0284215547144413
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_up,-0.1491692066192627
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_down,-0.1699308156967163
optimal_to_suboptimal,global_beliefs_and_dynamics,error_has_key,-0.038334738463163376
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_belief_changes,0.035378582775592804
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_onsets,-0.12790776789188385
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_recoveries,0.19009271264076233
optimal_to_suboptimal,action_conditioned,reasoning_progress,-0.2967933416366577
optimal_to_suboptimal,action_conditioned,chosen_wall_error,-0.10047274082899094
optimal_to_suboptimal,action_conditioned,chosen_wall_reports_blocked,-0.10041122883558273
optimal_to_suboptimal,action_conditioned,chosen_effect_error,-0.1348343938589096
optimal_to_suboptimal,action_conditioned,chosen_effect_reports_hit,-0.12778140604496002
optimal_to_suboptimal,combined,reasoning_progress,-0.2792759835720062
optimal_to_suboptimal,combined,error_wall_left,-0.03151747211813927
optimal_to_suboptimal,combined,error_wall_right,-0.027338530868291855
optimal_to_suboptimal,combined,error_wall_up,-0.14302876591682434
optimal_to_suboptimal,combined,error_wall_down,-0.1462853103876114
optimal_to_suboptimal,combined,error_has_key,-0.039052944630384445
optimal_to_suboptimal,combined,chosen_wall_error,-0.07379361987113953
optimal_to_suboptimal,combined,chosen_wall_reports_blocked,-0.07363969087600708
optimal_to_suboptimal,combined,chosen_effect_error,-0.12235832214355469
optimal_to_suboptimal,combined,chosen_effect_reports_hit,-0.11494177579879761
optimal_to_suboptimal,belief_action_chain,reasoning_progress,-0.27777865529060364
optimal_to_suboptimal,belief_action_chain,error_wall_left,-0.02739078365266323
optimal_to_suboptimal,belief_action_chain,error_wall_right,-0.0257155392318964
optimal_to_suboptimal,belief_action_chain,error_wall_up,-0.14152787625789642
optimal_to_suboptimal,belief_action_chain,error_wall_down,-0.14034990966320038
optimal_to_suboptimal,belief_action_chain,error_has_key,-0.037584610283374786
optimal_to_suboptimal,belief_action_chain,chosen_wall_error,-0.060691192746162415
optimal_to_suboptimal,belief_action_chain,chosen_wall_reports_blocked,-0.06068352609872818
optimal_to_suboptimal,belief_action_chain,chosen_effect_error,-0.12046026438474655
optimal_to_suboptimal,belief_action_chain,chosen_effect_reports_hit,-0.11280082166194916
optimal_to_suboptimal,belief_action_chain,blocked_report*predicted_hit,-0.051312122493982315
optimal_to_suboptimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-0.05131698399782181
