metric,progress_bin_start,progress_bin_end,progress_bin_center,n_states,mean_entropy_bits,standard_error_across_states
action_entropy_bits,0.0,0.1,0.05,8,5.017512603551889e-07,4.3425140254983716e-07
action_entropy_bits,0.1,0.2,0.15,7,5.3992975044449915e-08,2.1865464840554545e-08
action_entropy_bits,0.2,0.3,0.25,7,3.024232577815465e-08,1.3314762267641196e-08
action_entropy_bits,0.3,0.4,0.35,8,3.021287343184138e-08,1.4418304879194121e-08
action_entropy_bits,0.4,0.5,0.45,8,4.009699910906377e-08,2.1179322784522598e-08
action_entropy_bits,0.5,0.6,0.55,8,3.0220155729083896e-08,1.635088619020757e-08
action_entropy_bits,0.6,0.7,0.65,8,1.2488400077505986e-07,6.381086483443001e-08
action_entropy_bits,0.7,0.8,0.75,8,3.31189300472586e-08,1.5440687123039584e-08
action_entropy_bits,0.8,0.9,0.85,8,6.459654404399827e-08,2.850862330697687e-08
action_entropy_bits,0.9,1.0,0.95,8,4.6563911409055564e-08,2.076877372033728e-08
state_belief_entropy_mean_bits,0.0,0.1,0.05,8,1.7836519231584445e-05,9.668436097390988e-06
state_belief_entropy_mean_bits,0.1,0.2,0.15,7,6.434859604831571e-05,3.5061049913050705e-05
state_belief_entropy_mean_bits,0.2,0.3,0.25,7,4.690136906077931e-05,1.9588450533596784e-05
state_belief_entropy_mean_bits,0.3,0.4,0.35,8,0.00016116521832615268,6.82870299838031e-05
state_belief_entropy_mean_bits,0.4,0.5,0.45,8,0.0007374752004339865,0.0004505509014927729
state_belief_entropy_mean_bits,0.5,0.6,0.55,8,0.00020752447712427786,0.00010031044616235029
state_belief_entropy_mean_bits,0.6,0.7,0.65,8,0.0036025898457226566,0.003349937102691236
state_belief_entropy_mean_bits,0.7,0.8,0.75,8,0.0017974594819647328,0.0014147015580766686
state_belief_entropy_mean_bits,0.8,0.9,0.85,8,0.0009501461499683573,0.0006127982420728485
state_belief_entropy_mean_bits,0.9,1.0,0.95,8,0.01305249479623837,0.006270071640504558
