event_type,previous_action,current_action,n_transitions,fraction_within_event_type
action_identity_change_without_optimality_change,UP,UP,0,0.0
action_identity_change_without_optimality_change,UP,DOWN,0,0.0
action_identity_change_without_optimality_change,UP,LEFT,0,0.0
action_identity_change_without_optimality_change,UP,RIGHT,12,0.35294117647058826
action_identity_change_without_optimality_change,DOWN,UP,0,0.0
action_identity_change_without_optimality_change,DOWN,DOWN,0,0.0
action_identity_change_without_optimality_change,DOWN,LEFT,5,0.14705882352941177
action_identity_change_without_optimality_change,DOWN,RIGHT,0,0.0
action_identity_change_without_optimality_change,LEFT,UP,0,0.0
action_identity_change_without_optimality_change,LEFT,DOWN,5,0.14705882352941177
action_identity_change_without_optimality_change,LEFT,LEFT,0,0.0
action_identity_change_without_optimality_change,LEFT,RIGHT,0,0.0
action_identity_change_without_optimality_change,RIGHT,UP,12,0.35294117647058826
action_identity_change_without_optimality_change,RIGHT,DOWN,0,0.0
action_identity_change_without_optimality_change,RIGHT,LEFT,0,0.0
action_identity_change_without_optimality_change,RIGHT,RIGHT,0,0.0
suboptimal_to_optimal_recovery,UP,UP,0,0.0
suboptimal_to_optimal_recovery,UP,DOWN,0,0.0
suboptimal_to_optimal_recovery,UP,LEFT,0,0.0
suboptimal_to_optimal_recovery,UP,RIGHT,0,0.0
suboptimal_to_optimal_recovery,DOWN,UP,0,0.0
suboptimal_to_optimal_recovery,DOWN,DOWN,0,0.0
suboptimal_to_optimal_recovery,DOWN,LEFT,3,0.2
suboptimal_to_optimal_recovery,DOWN,RIGHT,0,0.0
suboptimal_to_optimal_recovery,LEFT,UP,2,0.13333333333333333
suboptimal_to_optimal_recovery,LEFT,DOWN,0,0.0
suboptimal_to_optimal_recovery,LEFT,LEFT,0,0.0
suboptimal_to_optimal_recovery,LEFT,RIGHT,0,0.0
suboptimal_to_optimal_recovery,RIGHT,UP,1,0.06666666666666667
suboptimal_to_optimal_recovery,RIGHT,DOWN,4,0.26666666666666666
suboptimal_to_optimal_recovery,RIGHT,LEFT,5,0.3333333333333333
suboptimal_to_optimal_recovery,RIGHT,RIGHT,0,0.0
sustained_optimal_to_suboptimal,UP,UP,0,0.0
sustained_optimal_to_suboptimal,UP,DOWN,0,0.0
sustained_optimal_to_suboptimal,UP,LEFT,0,0.0
sustained_optimal_to_suboptimal,UP,RIGHT,0,0.0
sustained_optimal_to_suboptimal,DOWN,UP,0,0.0
sustained_optimal_to_suboptimal,DOWN,DOWN,0,0.0
sustained_optimal_to_suboptimal,DOWN,LEFT,0,0.0
sustained_optimal_to_suboptimal,DOWN,RIGHT,2,0.6666666666666666
sustained_optimal_to_suboptimal,LEFT,UP,0,0.0
sustained_optimal_to_suboptimal,LEFT,DOWN,1,0.3333333333333333
sustained_optimal_to_suboptimal,LEFT,LEFT,0,0.0
sustained_optimal_to_suboptimal,LEFT,RIGHT,0,0.0
sustained_optimal_to_suboptimal,RIGHT,UP,0,0.0
sustained_optimal_to_suboptimal,RIGHT,DOWN,0,0.0
sustained_optimal_to_suboptimal,RIGHT,LEFT,0,0.0
sustained_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
transient_optimal_to_suboptimal,UP,UP,0,0.0
transient_optimal_to_suboptimal,UP,DOWN,0,0.0
transient_optimal_to_suboptimal,UP,LEFT,2,0.2222222222222222
transient_optimal_to_suboptimal,UP,RIGHT,0,0.0
transient_optimal_to_suboptimal,DOWN,UP,0,0.0
transient_optimal_to_suboptimal,DOWN,DOWN,0,0.0
transient_optimal_to_suboptimal,DOWN,LEFT,0,0.0
transient_optimal_to_suboptimal,DOWN,RIGHT,1,0.1111111111111111
transient_optimal_to_suboptimal,LEFT,UP,0,0.0
transient_optimal_to_suboptimal,LEFT,DOWN,1,0.1111111111111111
transient_optimal_to_suboptimal,LEFT,LEFT,0,0.0
transient_optimal_to_suboptimal,LEFT,RIGHT,5,0.5555555555555556
transient_optimal_to_suboptimal,RIGHT,UP,0,0.0
transient_optimal_to_suboptimal,RIGHT,DOWN,0,0.0
transient_optimal_to_suboptimal,RIGHT,LEFT,0,0.0
transient_optimal_to_suboptimal,RIGHT,RIGHT,0,0.0
