event_family,candidate_chain,n_events_with_chain,event_coverage,n_occurrences
suboptimal_to_optimal,wall_down -> wall_left -> wall_down,1,0.06666666666666667,1
optimal_to_suboptimal,hit_wall_after_up -> has_key_after_up -> agent_location+goal_location,1,0.08333333333333333,1
suboptimal_to_optimal,goal_location+has_key_after_up,1,0.06666666666666667,1
optimal_to_suboptimal,agent_location+goal_location -> wall_up,1,0.08333333333333333,1
suboptimal_to_optimal,goal_location+has_key_after_up -> hit_wall_after_up,1,0.06666666666666667,1
suboptimal_to_optimal,door_open+hit_wall_after_right -> hit_wall_after_down,1,0.06666666666666667,1
optimal_to_suboptimal,door_open_after_left+hit_wall_after_left -> door_open_after_down,1,0.08333333333333333,1
suboptimal_to_optimal,door_open_after_down -> door_open,1,0.06666666666666667,1
suboptimal_to_optimal,door_open_after_left+hit_wall_after_left,1,0.06666666666666667,1
optimal_to_suboptimal,door_open -> door_open_after_left -> door_open+hit_wall_after_left -> hit_wall_after_right,1,0.08333333333333333,1
suboptimal_to_optimal,door_open -> hit_wall_after_left,1,0.06666666666666667,1
