outcome,outcome_description,factorized_feature,feature_description,n_with_feature,n_without_feature,events_with_feature,events_without_feature,event_rate_with_feature,event_rate_without_feature,risk_difference,smoothed_odds_ratio
action_change_next,Recommended action changes at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,46,607,5,56,0.10869565217391304,0.09225700164744646,0.016438650526466578,1.2936347158545687
action_change_next,Recommended action changes at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,39,614,1,60,0.02564102564102564,0.09771986970684039,-0.07207884406581475,0.3570891917999356
action_change_next,Recommended action changes at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,4,649,1,60,0.25,0.09244992295839753,0.15755007704160245,4.1759149940968125
action_change_next,Recommended action changes at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,286,367,27,34,0.0944055944055944,0.09264305177111716,0.0017625426344772405,1.0244059087989723
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,46,607,0,12,0.0,0.019769357495881382,-0.019769357495881382,0.512258064516129
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,39,614,0,12,0.0,0.019543973941368076,-0.019543973941368076,0.610126582278481
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,4,649,0,12,0.0,0.01848998459167951,-0.01848998459167951,5.666666666666667
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,286,367,6,6,0.02097902097902098,0.01634877384196185,0.0046302471370591285,1.2887700534759359
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,46,607,4,11,0.08695652173913043,0.018121911037891267,0.06883461070123917,5.492071611253197
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,39,614,0,15,0.0,0.024429967426710098,-0.024429967426710098,0.4895875867701103
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,4,649,0,15,0.0,0.023112480739599383,-0.023112480739599383,4.548387096774194
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next analysis position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,286,367,11,4,0.038461538461538464,0.010899182561307902,0.02756235590023056,3.371849163137729
