question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,654,1,66,19,568,0.4529505582137161,0.7106605064268172,1.0
door_location,coordinates,654,0,0,20,634,nan,1.0,1.0
door_open,core,653,12,380,8,253,0.9986842105263158,1.0,1.0
door_open_after_down,action_effects,131,2,4,6,119,9.916666666666666,0.043471280937313485,0.5854469854469856
door_open_after_left,action_effects,126,3,50,4,69,1.035,1.0,1.0
door_open_after_right,action_effects,137,0,5,3,129,0.0,1.0,1.0
door_open_after_up,action_effects,260,0,2,2,256,0.0,1.0,1.0
goal_location,coordinates,654,0,12,20,622,0.0,1.0,1.0
has_key,core,654,0,6,20,628,0.0,1.0,1.0
has_key_after_down,action_effects,131,0,1,8,122,0.0,1.0,1.0
has_key_after_left,action_effects,126,0,4,7,115,0.0,1.0,1.0
has_key_after_right,action_effects,137,0,7,3,127,0.0,1.0,1.0
has_key_after_up,action_effects,260,1,6,1,252,42.0,0.05322245322245323,0.5854469854469856
hit_wall_after_down,action_effects,131,4,60,4,63,1.05,1.0,1.0
hit_wall_after_left,action_effects,126,2,44,5,75,0.6818181818181818,1.0,1.0
hit_wall_after_right,action_effects,137,1,58,2,76,0.6551724137931034,1.0,1.0
hit_wall_after_up,action_effects,260,1,98,1,160,1.6326530612244898,1.0,1.0
key_location,coordinates,654,0,0,20,634,nan,1.0,1.0
wall_down,wall_directional,654,1,66,19,568,0.4529505582137161,0.7106605064268172,1.0
wall_left,wall_directional,653,1,20,19,613,1.6131578947368421,0.48501786675912545,1.0
wall_right,wall_directional,654,0,13,20,621,0.0,1.0,1.0
wall_up,wall_directional,654,0,60,20,574,0.0,0.2433294754927968,1.0
