transition_family,model_type,feature,standardized_coefficient
optimal_to_suboptimal,baseline,reasoning_progress,-0.067300945520401
optimal_to_suboptimal,global_beliefs,reasoning_progress,-0.04096001386642456
optimal_to_suboptimal,global_beliefs,error_wall_left,-0.06977127492427826
optimal_to_suboptimal,global_beliefs,error_wall_right,-0.04861896485090256
optimal_to_suboptimal,global_beliefs,error_wall_up,-0.14213289320468903
optimal_to_suboptimal,global_beliefs,error_wall_down,-0.16809169948101044
optimal_to_suboptimal,global_beliefs,error_has_key,-0.04301781207323074
optimal_to_suboptimal,belief_dynamics,reasoning_progress,-0.029145967215299606
optimal_to_suboptimal,belief_dynamics,n_global_belief_changes,-0.21026845276355743
optimal_to_suboptimal,belief_dynamics,n_global_error_onsets,-0.14763237535953522
optimal_to_suboptimal,belief_dynamics,n_global_error_recoveries,-0.14991357922554016
optimal_to_suboptimal,global_beliefs_and_dynamics,reasoning_progress,-0.018299007788300514
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_left,-0.052535343915224075
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_right,-0.03222024068236351
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_up,-0.10548286139965057
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_down,-0.13111677765846252
optimal_to_suboptimal,global_beliefs_and_dynamics,error_has_key,-0.027003580704331398
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_belief_changes,-0.18188966810703278
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_onsets,-0.10686533898115158
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_recoveries,-0.15169301629066467
optimal_to_suboptimal,action_conditioned,reasoning_progress,-0.09183724969625473
optimal_to_suboptimal,action_conditioned,chosen_wall_error,-0.12500709295272827
optimal_to_suboptimal,action_conditioned,chosen_wall_reports_blocked,-0.12498113512992859
optimal_to_suboptimal,action_conditioned,chosen_effect_error,0.08506889641284943
optimal_to_suboptimal,action_conditioned,chosen_effect_reports_hit,0.09000902622938156
optimal_to_suboptimal,combined,reasoning_progress,-0.08419036120176315
optimal_to_suboptimal,combined,error_wall_left,-0.05853751301765442
optimal_to_suboptimal,combined,error_wall_right,-0.04176872968673706
optimal_to_suboptimal,combined,error_wall_up,-0.1269896775484085
optimal_to_suboptimal,combined,error_wall_down,-0.1641829013824463
optimal_to_suboptimal,combined,error_has_key,-0.04802653193473816
optimal_to_suboptimal,combined,chosen_wall_error,-0.08728334307670593
optimal_to_suboptimal,combined,chosen_wall_reports_blocked,-0.08711041510105133
optimal_to_suboptimal,combined,chosen_effect_error,0.09772733598947525
optimal_to_suboptimal,combined,chosen_effect_reports_hit,0.10221501439809799
optimal_to_suboptimal,belief_action_chain,reasoning_progress,-0.08318142592906952
optimal_to_suboptimal,belief_action_chain,error_wall_left,-0.05288876220583916
optimal_to_suboptimal,belief_action_chain,error_wall_right,-0.038488082587718964
optimal_to_suboptimal,belief_action_chain,error_wall_up,-0.11982328444719315
optimal_to_suboptimal,belief_action_chain,error_wall_down,-0.15964387357234955
optimal_to_suboptimal,belief_action_chain,error_has_key,-0.048192162066698074
optimal_to_suboptimal,belief_action_chain,chosen_wall_error,-0.06990782916545868
optimal_to_suboptimal,belief_action_chain,chosen_wall_reports_blocked,-0.06983685493469238
optimal_to_suboptimal,belief_action_chain,chosen_effect_error,0.09950882941484451
optimal_to_suboptimal,belief_action_chain,chosen_effect_reports_hit,0.10410058498382568
optimal_to_suboptimal,belief_action_chain,blocked_report*predicted_hit,-0.059095095843076706
optimal_to_suboptimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-0.059919435530900955
suboptimal_to_optimal,baseline,reasoning_progress,0.9865751266479492
suboptimal_to_optimal,global_beliefs,reasoning_progress,1.0269712209701538
suboptimal_to_optimal,global_beliefs,error_wall_left,-0.556725263595581
suboptimal_to_optimal,global_beliefs,error_wall_right,1.3354452676139772e-05
suboptimal_to_optimal,global_beliefs,error_wall_up,0.5038629174232483
suboptimal_to_optimal,global_beliefs,error_wall_down,0.7030079960823059
suboptimal_to_optimal,global_beliefs,error_has_key,-1.1502415873110294e-05
suboptimal_to_optimal,belief_dynamics,reasoning_progress,1.050786018371582
suboptimal_to_optimal,belief_dynamics,n_global_belief_changes,0.10659129172563553
suboptimal_to_optimal,belief_dynamics,n_global_error_onsets,0.44112589955329895
suboptimal_to_optimal,belief_dynamics,n_global_error_recoveries,-0.303812175989151
suboptimal_to_optimal,global_beliefs_and_dynamics,reasoning_progress,1.0344738960266113
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_left,-0.6634638905525208
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_right,3.690320227178745e-06
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_up,0.40209710597991943
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_down,0.594463586807251
suboptimal_to_optimal,global_beliefs_and_dynamics,error_has_key,-3.1799327189219184e-06
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_belief_changes,0.09248358756303787
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_onsets,0.20331695675849915
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_recoveries,-0.05013452097773552
suboptimal_to_optimal,action_conditioned,reasoning_progress,0.8880758881568909
suboptimal_to_optimal,action_conditioned,chosen_wall_error,-2.1490908693522215e-05
suboptimal_to_optimal,action_conditioned,chosen_wall_reports_blocked,-0.41754603385925293
suboptimal_to_optimal,action_conditioned,chosen_effect_error,0.11963940411806107
suboptimal_to_optimal,action_conditioned,chosen_effect_reports_hit,-0.32455024123191833
suboptimal_to_optimal,combined,reasoning_progress,0.7708051800727844
suboptimal_to_optimal,combined,error_wall_left,-0.9317885637283325
suboptimal_to_optimal,combined,error_wall_right,-3.056571222259663e-05
suboptimal_to_optimal,combined,error_wall_up,0.4485412836074829
suboptimal_to_optimal,combined,error_wall_down,0.36153313517570496
suboptimal_to_optimal,combined,error_has_key,2.632823452586308e-05
suboptimal_to_optimal,combined,chosen_wall_error,-6.35205433354713e-05
suboptimal_to_optimal,combined,chosen_wall_reports_blocked,-0.5446689128875732
suboptimal_to_optimal,combined,chosen_effect_error,-0.04296260327100754
suboptimal_to_optimal,combined,chosen_effect_reports_hit,-0.6488775014877319
suboptimal_to_optimal,belief_action_chain,reasoning_progress,0.7518320679664612
suboptimal_to_optimal,belief_action_chain,error_wall_left,-0.9502432346343994
suboptimal_to_optimal,belief_action_chain,error_wall_right,-2.1846717572771013e-06
suboptimal_to_optimal,belief_action_chain,error_wall_up,0.44229963421821594
suboptimal_to_optimal,belief_action_chain,error_wall_down,0.3475189805030823
suboptimal_to_optimal,belief_action_chain,error_has_key,1.8816936062648892e-06
suboptimal_to_optimal,belief_action_chain,chosen_wall_error,-4.5399065129458904e-06
suboptimal_to_optimal,belief_action_chain,chosen_wall_reports_blocked,-0.3476451635360718
suboptimal_to_optimal,belief_action_chain,chosen_effect_error,-0.1590520739555359
suboptimal_to_optimal,belief_action_chain,chosen_effect_reports_hit,-0.5629051923751831
suboptimal_to_optimal,belief_action_chain,blocked_report*predicted_hit,-0.34764254093170166
suboptimal_to_optimal,belief_action_chain,chosen_wall_error*chosen_effect_error,1.7453930922783911e-06
