metric,progress_bin_start,progress_bin_end,progress_bin_center,n_states,mean_entropy_bits,standard_error_across_states
action_entropy_bits,0.0,0.1,0.05,8,4.504695450179046e-06,4.321618571442109e-06
action_entropy_bits,0.1,0.2,0.15,7,8.131203478413126e-08,3.8113899418528645e-08
action_entropy_bits,0.2,0.3,0.25,7,8.893906970817825e-08,5.125666252446244e-08
action_entropy_bits,0.3,0.4,0.35,8,4.230572185082491e-08,1.9326037199194193e-08
action_entropy_bits,0.4,0.5,0.45,8,6.754255033227359e-08,3.323125025855914e-08
action_entropy_bits,0.5,0.6,0.55,8,6.0657673265916e-08,3.6488689193001467e-08
action_entropy_bits,0.6,0.7,0.65,8,4.9957390346991885e-08,3.034911559560236e-08
action_entropy_bits,0.7,0.8,0.75,8,4.8983520547115994e-08,2.0141021195864846e-08
action_entropy_bits,0.8,0.9,0.85,8,5.069689911464e-08,1.9130247444786185e-08
action_entropy_bits,0.9,1.0,0.95,8,4.0821167064951857e-07,3.4100697427160714e-07
state_belief_entropy_mean_bits,0.0,0.1,0.05,8,3.341699155969939e-05,1.778098534232264e-05
state_belief_entropy_mean_bits,0.1,0.2,0.15,7,0.00013396539675590279,0.00010771708615267846
state_belief_entropy_mean_bits,0.2,0.3,0.25,7,0.0004247656778605653,0.00022081803265237436
state_belief_entropy_mean_bits,0.3,0.4,0.35,8,0.0005467046836147237,0.000216762634472041
state_belief_entropy_mean_bits,0.4,0.5,0.45,8,0.0006812877749985439,0.00034471432332702735
state_belief_entropy_mean_bits,0.5,0.6,0.55,8,0.0019919519480127356,0.0016659639231787144
state_belief_entropy_mean_bits,0.6,0.7,0.65,8,0.0014909213241175617,0.001044843809976648
state_belief_entropy_mean_bits,0.7,0.8,0.75,8,0.0029464241638797735,0.002731539699609647
state_belief_entropy_mean_bits,0.8,0.9,0.85,8,0.002728707862237609,0.00210508179820079
state_belief_entropy_mean_bits,0.9,1.0,0.95,8,0.008344929722971194,0.0027004082942769093
