event_family,target_shift_type,question_id,question_family,n_events,n_candidate_belief_shifts,events_with_leading_shift,leading_event_coverage,events_with_coincident_shift,coincident_event_coverage,events_with_lagging_shift,lagging_event_coverage,events_with_any_nearby_shift,any_nearby_event_coverage,shifts_followed_by_target_event,leading_indicator_precision,leading_indicator_false_alarm_rate
optimal_to_suboptimal,belief_error_onset,agent_location,coordinates,5,16,2,0.4,0,0.0,2,0.4,3,0.6,2,0.125,0.875
optimal_to_suboptimal,belief_error_onset,door_open,core,5,33,2,0.4,0,0.0,2,0.4,4,0.8,2,0.06060606060606061,0.9393939393939394
optimal_to_suboptimal,belief_error_onset,door_open_after_down,action_effects,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,door_open_after_left,action_effects,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,goal_location,coordinates,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key,core,5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,has_key_after_up,action_effects,5,2,1,0.2,0,0.0,0,0.0,1,0.2,1,0.5,0.5
optimal_to_suboptimal,belief_error_onset,hit_wall_after_down,action_effects,5,8,2,0.4,0,0.0,1,0.2,2,0.4,1,0.125,0.875
optimal_to_suboptimal,belief_error_onset,hit_wall_after_left,action_effects,5,3,1,0.2,0,0.0,0,0.0,1,0.2,1,0.3333333333333333,0.6666666666666667
optimal_to_suboptimal,belief_error_onset,hit_wall_after_right,action_effects,5,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,hit_wall_after_up,action_effects,5,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_down,wall_directional,5,10,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_left,wall_directional,5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_right,wall_directional,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
optimal_to_suboptimal,belief_error_onset,wall_up,wall_directional,5,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,agent_location,coordinates,6,16,1,0.16666666666666666,0,0.0,3,0.5,3,0.5,1,0.0625,0.9375
suboptimal_to_optimal,belief_error_recovery,door_open,core,6,31,2,0.3333333333333333,0,0.0,5,0.8333333333333334,5,0.8333333333333334,2,0.06451612903225806,0.935483870967742
suboptimal_to_optimal,belief_error_recovery,door_open_after_down,action_effects,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,door_open_after_left,,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
suboptimal_to_optimal,belief_error_recovery,goal_location,coordinates,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key,core,6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,has_key_after_up,action_effects,6,3,1,0.16666666666666666,0,0.0,0,0.0,1,0.16666666666666666,1,0.3333333333333333,0.6666666666666667
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_down,action_effects,6,7,0,0.0,0,0.0,2,0.3333333333333333,2,0.3333333333333333,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_left,action_effects,6,3,0,0.0,1,0.16666666666666666,0,0.0,1,0.16666666666666666,1,0.3333333333333333,0.6666666666666667
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_right,action_effects,6,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,hit_wall_after_up,action_effects,6,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_down,wall_directional,6,12,0,0.0,0,0.0,1,0.16666666666666666,1,0.16666666666666666,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_left,wall_directional,6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_right,wall_directional,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
suboptimal_to_optimal,belief_error_recovery,wall_up,wall_directional,6,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0
