outcome,outcome_description,factorized_feature,feature_description,n_with_feature,n_without_feature,events_with_feature,events_without_feature,event_rate_with_feature,event_rate_without_feature,risk_difference,smoothed_odds_ratio
action_change_next,Recommended action changes at the next chunk-prefix position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,6,210,1,17,0.16666666666666666,0.08095238095238096,0.0857142857142857,3.0155844155844154
action_change_next,Recommended action changes at the next chunk-prefix position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,2,214,0,18,0.0,0.08411214953271028,-0.08411214953271028,2.1243243243243244
action_change_next,Recommended action changes at the next chunk-prefix position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,0,216,0,18,,0.08333333333333333,,10.72972972972973
action_change_next,Recommended action changes at the next chunk-prefix position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,66,150,8,10,0.12121212121212122,0.06666666666666667,0.05454545454545455,1.9442409442409443
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next chunk-prefix position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,6,210,0,4,0.0,0.01904761904761905,-0.01904761904761905,3.52991452991453
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next chunk-prefix position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,2,214,0,4,0.0,0.018691588785046728,-0.018691588785046728,9.355555555555556
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next chunk-prefix position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,0,216,0,4,,0.018518518518518517,,47.22222222222222
optimality_loss_next,Planner-optimal recommendation becomes suboptimal at the next chunk-prefix position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,66,150,3,1,0.045454545454545456,0.006666666666666667,0.03878787878787879,5.4934383202099735
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next chunk-prefix position.,blocked_report_and_predicted_hit,Chosen-direction wall report is yes AND chosen-action hit-wall report is yes.,6,210,1,4,0.16666666666666666,0.01904761904761905,0.1476190476190476,12.515151515151516
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next chunk-prefix position.,chosen_wall_error_and_chosen_effect_error,Chosen-direction wall belief is wrong AND chosen-action hit-wall consequence belief is wrong.,2,214,0,5,0.0,0.02336448598130841,-0.02336448598130841,7.618181818181818
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next chunk-prefix position.,key_error_and_door_error,Key-possession belief is wrong AND door-open belief is wrong.,0,216,0,5,,0.023148148148148147,,38.45454545454545
optimality_recovery_next,Suboptimal recommendation becomes planner-optimal at the next chunk-prefix position.,chosen_action_conflicts_with_reported_state,Chosen-direction wall report is yes OR chosen-action hit-wall report is yes.,66,150,5,0,0.07575757575757576,0.0,0.07575757575757576,26.91869918699187
