question_id,question_family,n_positions,error_and_next_suboptimal,error_and_next_optimal,correct_and_next_suboptimal,correct_and_next_optimal,odds_ratio,fisher_exact_p,fdr_bh_q
agent_location,coordinates,242,2,20,6,214,3.566666666666667,0.15803916657721884,1.0
door_location,coordinates,242,0,0,8,234,nan,1.0,1.0
door_open,core,237,6,92,2,137,4.467391304347826,0.06842695256255192,1.0
door_open_after_down,action_effects,70,0,1,5,64,0.0,1.0,1.0
door_open_after_left,action_effects,45,1,14,1,29,2.0714285714285716,1.0,1.0
door_open_after_right,action_effects,79,0,0,0,79,nan,1.0,1.0
door_open_after_up,action_effects,43,0,0,1,42,nan,1.0,1.0
goal_location,coordinates,242,0,1,8,233,0.0,1.0,1.0
has_key,core,239,0,2,8,229,0.0,1.0,1.0
has_key_after_down,action_effects,75,0,0,5,70,nan,1.0,1.0
has_key_after_left,action_effects,45,0,0,2,43,nan,1.0,1.0
has_key_after_right,action_effects,77,0,0,0,77,nan,1.0,1.0
has_key_after_up,action_effects,43,0,3,1,39,0.0,1.0,1.0
hit_wall_after_down,action_effects,74,2,25,3,44,1.1733333333333333,1.0,1.0
hit_wall_after_left,action_effects,43,1,6,0,36,inf,0.1627906976744186,1.0
hit_wall_after_right,action_effects,78,0,23,0,55,nan,1.0,1.0
hit_wall_after_up,action_effects,43,0,11,1,31,0.0,1.0,1.0
key_location,coordinates,242,0,0,8,234,nan,1.0,1.0
wall_down,wall_directional,228,0,20,7,201,0.0,1.0,1.0
wall_left,wall_directional,214,0,4,8,202,0.0,1.0,1.0
wall_right,wall_directional,219,0,1,8,210,0.0,1.0,1.0
wall_up,wall_directional,223,0,7,8,208,0.0,1.0,1.0
