transition_family,model_type,feature,standardized_coefficient
optimal_to_suboptimal,baseline,reasoning_progress,-0.1746612787246704
optimal_to_suboptimal,global_beliefs,reasoning_progress,-0.15746437013149261
optimal_to_suboptimal,global_beliefs,error_wall_left,-0.039496488869190216
optimal_to_suboptimal,global_beliefs,error_wall_right,-0.014398243278265
optimal_to_suboptimal,global_beliefs,error_wall_up,-0.0616924911737442
optimal_to_suboptimal,global_beliefs,error_wall_down,-0.15829452872276306
optimal_to_suboptimal,global_beliefs,error_has_key,-0.03631559759378433
optimal_to_suboptimal,belief_dynamics,reasoning_progress,-0.1461549550294876
optimal_to_suboptimal,belief_dynamics,n_global_belief_changes,-0.1315232813358307
optimal_to_suboptimal,belief_dynamics,n_global_error_onsets,-0.0934053510427475
optimal_to_suboptimal,belief_dynamics,n_global_error_recoveries,-0.09593861550092697
optimal_to_suboptimal,global_beliefs_and_dynamics,reasoning_progress,-0.14337167143821716
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_left,-0.02513805218040943
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_right,-0.007148453500121832
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_up,-0.03930675983428955
optimal_to_suboptimal,global_beliefs_and_dynamics,error_wall_down,-0.1365225613117218
optimal_to_suboptimal,global_beliefs_and_dynamics,error_has_key,-0.01992008462548256
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_belief_changes,-0.1110454648733139
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_onsets,-0.06613718718290329
optimal_to_suboptimal,global_beliefs_and_dynamics,n_global_error_recoveries,-0.0953393429517746
optimal_to_suboptimal,action_conditioned,reasoning_progress,-0.5526700615882874
optimal_to_suboptimal,action_conditioned,chosen_wall_error,-0.07359795272350311
optimal_to_suboptimal,action_conditioned,chosen_wall_reports_blocked,-0.07365673035383224
optimal_to_suboptimal,action_conditioned,chosen_effect_error,0.5999821424484253
optimal_to_suboptimal,action_conditioned,chosen_effect_reports_hit,0.599919319152832
optimal_to_suboptimal,combined,reasoning_progress,-0.5424915552139282
optimal_to_suboptimal,combined,error_wall_left,-0.03929388150572777
optimal_to_suboptimal,combined,error_wall_right,-0.0014584546443074942
optimal_to_suboptimal,combined,error_wall_up,-0.06366897374391556
optimal_to_suboptimal,combined,error_wall_down,-0.13078060746192932
optimal_to_suboptimal,combined,error_has_key,-0.008512124419212341
optimal_to_suboptimal,combined,chosen_wall_error,-0.05249093100428581
optimal_to_suboptimal,combined,chosen_wall_reports_blocked,-0.05247372016310692
optimal_to_suboptimal,combined,chosen_effect_error,0.5985754132270813
optimal_to_suboptimal,combined,chosen_effect_reports_hit,0.5985495448112488
optimal_to_suboptimal,belief_action_chain,reasoning_progress,-0.5416312217712402
optimal_to_suboptimal,belief_action_chain,error_wall_left,-0.040789633989334106
optimal_to_suboptimal,belief_action_chain,error_wall_right,-0.00202538282610476
optimal_to_suboptimal,belief_action_chain,error_wall_up,-0.05776089057326317
optimal_to_suboptimal,belief_action_chain,error_wall_down,-0.12266028672456741
optimal_to_suboptimal,belief_action_chain,error_has_key,-0.00847394298762083
optimal_to_suboptimal,belief_action_chain,chosen_wall_error,-0.032578542828559875
optimal_to_suboptimal,belief_action_chain,chosen_wall_reports_blocked,-0.032581403851509094
optimal_to_suboptimal,belief_action_chain,chosen_effect_error,0.5992990136146545
optimal_to_suboptimal,belief_action_chain,chosen_effect_reports_hit,0.5993033647537231
optimal_to_suboptimal,belief_action_chain,blocked_report*predicted_hit,-0.0450606606900692
optimal_to_suboptimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-0.04505884274840355
suboptimal_to_optimal,baseline,reasoning_progress,-0.6586814522743225
suboptimal_to_optimal,global_beliefs,reasoning_progress,-0.6588396430015564
suboptimal_to_optimal,global_beliefs,error_wall_left,-0.00025611952878534794
suboptimal_to_optimal,global_beliefs,error_wall_right,7.229135371744633e-05
suboptimal_to_optimal,global_beliefs,error_wall_up,-0.0002834484912455082
suboptimal_to_optimal,global_beliefs,error_wall_down,6.760226096957922e-05
suboptimal_to_optimal,global_beliefs,error_has_key,-6.226863479241729e-05
suboptimal_to_optimal,belief_dynamics,reasoning_progress,-0.6586601734161377
suboptimal_to_optimal,belief_dynamics,n_global_belief_changes,9.349139872938395e-05
suboptimal_to_optimal,belief_dynamics,n_global_error_onsets,-2.6387686375528574e-05
suboptimal_to_optimal,belief_dynamics,n_global_error_recoveries,0.0001034977613016963
suboptimal_to_optimal,global_beliefs_and_dynamics,reasoning_progress,-0.6587204933166504
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_left,-0.00011761469068005681
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_right,3.3199852623511106e-05
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_up,-0.0001301745360251516
suboptimal_to_optimal,global_beliefs_and_dynamics,error_wall_down,3.104868665104732e-05
suboptimal_to_optimal,global_beliefs_and_dynamics,error_has_key,-2.859767118934542e-05
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_belief_changes,6.899317668285221e-05
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_onsets,-8.322190842591226e-05
suboptimal_to_optimal,global_beliefs_and_dynamics,n_global_error_recoveries,-0.00012492691166698933
suboptimal_to_optimal,action_conditioned,reasoning_progress,1.6254022121429443
suboptimal_to_optimal,action_conditioned,chosen_wall_error,-9.48156593949534e-05
suboptimal_to_optimal,action_conditioned,chosen_wall_reports_blocked,-1.2791997194290161
suboptimal_to_optimal,action_conditioned,chosen_effect_error,1.8894366025924683
suboptimal_to_optimal,action_conditioned,chosen_effect_reports_hit,-1.1108503341674805
suboptimal_to_optimal,combined,reasoning_progress,1.6254554986953735
suboptimal_to_optimal,combined,error_wall_left,-4.117955541005358e-06
suboptimal_to_optimal,combined,error_wall_right,1.162483385996893e-06
suboptimal_to_optimal,combined,error_wall_up,-4.55830740975216e-06
suboptimal_to_optimal,combined,error_wall_down,1.08739550341852e-06
suboptimal_to_optimal,combined,error_has_key,-1.0009180186898448e-06
suboptimal_to_optimal,combined,chosen_wall_error,2.4147448129951954e-06
suboptimal_to_optimal,combined,chosen_wall_reports_blocked,-1.2792106866836548
suboptimal_to_optimal,combined,chosen_effect_error,1.8895554542541504
suboptimal_to_optimal,combined,chosen_effect_reports_hit,-1.1109135150909424
suboptimal_to_optimal,belief_action_chain,reasoning_progress,1.8333336114883423
suboptimal_to_optimal,belief_action_chain,error_wall_left,-6.904186193423811e-06
suboptimal_to_optimal,belief_action_chain,error_wall_right,1.9486603832774563e-06
suboptimal_to_optimal,belief_action_chain,error_wall_up,-7.640312105650082e-06
suboptimal_to_optimal,belief_action_chain,error_wall_down,1.8227917735202936e-06
suboptimal_to_optimal,belief_action_chain,error_has_key,-1.6785199932201067e-06
suboptimal_to_optimal,belief_action_chain,chosen_wall_error,4.049829840369057e-06
suboptimal_to_optimal,belief_action_chain,chosen_wall_reports_blocked,-0.9465622305870056
suboptimal_to_optimal,belief_action_chain,chosen_effect_error,1.3601793050765991
suboptimal_to_optimal,belief_action_chain,chosen_effect_reports_hit,-0.7739518880844116
suboptimal_to_optimal,belief_action_chain,blocked_report*predicted_hit,-1.3601939678192139
suboptimal_to_optimal,belief_action_chain,chosen_wall_error*chosen_effect_error,-1.5565453850285849e-06
