metric,progress_bin_start,progress_bin_end,progress_bin_center,n_states,mean_entropy_bits,standard_error_across_states
action_mc_entropy,0.0,0.1,0.05,8,0.4551056204657133,0.14467450457383293
action_mc_entropy,0.1,0.2,0.15,8,0.2637024878026771,0.12647375588124768
action_mc_entropy,0.2,0.3,0.25,8,0.4450485022721428,0.15327589428209537
action_mc_entropy,0.3,0.4,0.35,8,0.40316326596831986,0.13311013159318616
action_mc_entropy,0.4,0.5,0.45,8,0.36797710613964174,0.1329978960215795
action_mc_entropy,0.5,0.6,0.55,8,0.2892093063713246,0.1444358294349779
action_mc_entropy,0.6,0.7,0.65,8,0.2489995858144994,0.13733373814450928
action_mc_entropy,0.7,0.8,0.75,8,0.16709190728691245,0.10110386673929356
action_mc_entropy,0.8,0.9,0.85,8,0.09688112870855906,0.06585225349925562
action_mc_entropy,0.9,1.0,0.95,8,0.014656112299665038,0.014656112299665038
state_belief_entropy_mean_bits,0.0,0.1,0.05,8,7.355171047050517e-05,5.4486359271831936e-05
state_belief_entropy_mean_bits,0.1,0.2,0.15,8,9.361618337268466e-05,3.8077556389210415e-05
state_belief_entropy_mean_bits,0.2,0.3,0.25,8,0.00036066168177645264,0.00025057199639049284
state_belief_entropy_mean_bits,0.3,0.4,0.35,8,0.001072042654511277,0.0005698919099633456
state_belief_entropy_mean_bits,0.4,0.5,0.45,8,0.0007010198797028807,0.00014883908875245718
state_belief_entropy_mean_bits,0.5,0.6,0.55,8,0.0031247976487222794,0.0023044719212795247
state_belief_entropy_mean_bits,0.6,0.7,0.65,8,0.0027699733963981654,0.0013376875815087452
state_belief_entropy_mean_bits,0.7,0.8,0.75,8,0.0009868676842510215,0.00035490921169851905
state_belief_entropy_mean_bits,0.8,0.9,0.85,8,0.0010589653943719145,0.00048753548179757513
state_belief_entropy_mean_bits,0.9,1.0,0.95,8,0.012052992650978665,0.004505992084441274
