event_type,event_family,example_id,trajectory_id,matched_role,current_reasoning_step_idx,previous_action,current_action,previous_action_entropy_bits,current_action_entropy_bits,delta_action_entropy_bits,previous_action_confidence,current_action_confidence,delta_action_confidence
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,1,RIGHT,UP,1.3591297627327377,1.5530100730632197,0.19388031033048203,0.6719751954078674,0.4196912944316864,-0.25228390097618103
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,1,RIGHT,UP,1.3591297627327377,1.5530100730632197,0.19388031033048203,0.6719751954078674,0.4196912944316864,-0.25228390097618103
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,3,UP,RIGHT,1.5906626783104003,1.595628167057137,0.004965488746736746,0.4666852653026581,0.3930518925189972,-0.07363337278366089
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,3,UP,RIGHT,1.5906626783104003,1.595628167057137,0.004965488746736746,0.4666852653026581,0.3930518925189972,-0.07363337278366089
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,15,RIGHT,UP,1.734749807750819,0.1226573147677163,-1.6120924929831026,0.5059437155723572,0.98529714345932,0.4793534278869628
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,15,RIGHT,UP,1.734749807750819,0.1226573147677163,-1.6120924929831026,0.5059437155723572,0.98529714345932,0.4793534278869628
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,36,UP,LEFT,1.3290105306423856,1.6523965660061686,0.32338603536378296,0.6620403528213501,0.4463717937469482,-0.2156685590744019
transient_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,36,UP,LEFT,1.3290105306423856,1.6523965660061686,0.32338603536378296,0.6620403528213501,0.4463717937469482,-0.2156685590744019
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,37,LEFT,UP,1.6523965660061686,1.515728342307465,-0.13666822369870357,0.4463717937469482,0.4413432776927948,-0.005028516054153387
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,37,LEFT,UP,1.6523965660061686,1.515728342307465,-0.13666822369870357,0.4463717937469482,0.4413432776927948,-0.005028516054153387
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,43,UP,LEFT,0.3183861458422808,1.3006967743775495,0.9823106285352687,0.9562049508094788,0.509316623210907,-0.4468883275985718
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,43,UP,LEFT,0.3183861458422808,1.3006967743775495,0.9823106285352687,0.9562049508094788,0.509316623210907,-0.4468883275985718
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,45,LEFT,UP,0.8831343414141859,1.3628064352418692,0.4796720938276833,0.8117885589599609,0.6158750653266907,-0.19591349363327026
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,45,LEFT,UP,0.8831343414141859,1.3628064352418692,0.4796720938276833,0.8117885589599609,0.6158750653266907,-0.19591349363327026
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,47,UP,LEFT,1.520430716413992,1.1718275249794152,-0.34860319143457685,0.4297955334186554,0.7359049320220947,0.30610939860343933
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,47,UP,LEFT,1.520430716413992,1.1718275249794152,-0.34860319143457685,0.4297955334186554,0.7359049320220947,0.30610939860343933
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,58,LEFT,UP,1.44252594374077,1.5554574612622214,0.11293151752145136,0.5864211916923523,0.4307121336460113,-0.155709058046341
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,58,LEFT,UP,1.44252594374077,1.5554574612622214,0.11293151752145136,0.5864211916923523,0.4307121336460113,-0.155709058046341
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,59,UP,LEFT,1.5554574612622214,1.4448490963583225,-0.11060836490389891,0.4307121336460113,0.5920854210853577,0.16137328743934637
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,59,UP,LEFT,1.5554574612622214,1.4448490963583225,-0.11060836490389891,0.4307121336460113,0.5920854210853577,0.16137328743934637
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,60,LEFT,UP,1.4448490963583225,1.5953220422390786,0.1504729458807561,0.5920854210853577,0.427219808101654,-0.16486561298370367
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,60,LEFT,UP,1.4448490963583225,1.5953220422390786,0.1504729458807561,0.5920854210853577,0.427219808101654,-0.16486561298370367
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,61,UP,LEFT,1.5953220422390786,1.256826818045866,-0.33849522419321265,0.427219808101654,0.6809150576591492,0.2536952495574952
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,61,UP,LEFT,1.5953220422390786,1.256826818045866,-0.33849522419321265,0.427219808101654,0.6809150576591492,0.2536952495574952
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,94,LEFT,UP,0.3643529862343126,0.8612928056431123,0.49693981940879967,0.9480869770050048,0.7875897288322449,-0.1604972481727599
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,94,LEFT,UP,0.3643529862343126,0.8612928056431123,0.49693981940879967,0.9480869770050048,0.7875897288322449,-0.1604972481727599
commitment_onset,commitment_onset,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_001,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,control,94,,UP,0.3643529862343126,0.8612928056431123,0.49693981940879967,0.9480869770050048,0.7875897288322449,-0.1604972481727599
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,8,RIGHT,LEFT,1.2939341308012005,1.3612619610996706,0.06732783029847011,0.6225709915161133,0.5060780048370361,-0.11649298667907715
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,8,RIGHT,LEFT,1.2939341308012005,1.3612619610996706,0.06732783029847011,0.6225709915161133,0.5060780048370361,-0.11649298667907715
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,9,LEFT,RIGHT,1.3612619610996706,1.4992077215969837,0.1379457604973131,0.5060780048370361,0.5799859762191772,0.07390797138214111
sustained_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,9,LEFT,RIGHT,1.3612619610996706,1.4992077215969837,0.1379457604973131,0.5060780048370361,0.5799859762191772,0.07390797138214111
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,10,RIGHT,LEFT,1.4992077215969837,1.4547225886623647,-0.044485132934618976,0.5799859762191772,0.6128107309341431,0.03282475471496582
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,10,RIGHT,LEFT,1.4992077215969837,1.4547225886623647,-0.044485132934618976,0.5799859762191772,0.6128107309341431,0.03282475471496582
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,11,LEFT,RIGHT,1.4547225886623647,1.615928582709144,0.16120599404677938,0.6128107309341431,0.4604431688785553,-0.15236756205558777
transient_optimal_to_suboptimal,optimal_to_suboptimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,11,LEFT,RIGHT,1.4547225886623647,1.615928582709144,0.16120599404677938,0.6128107309341431,0.4604431688785553,-0.15236756205558777
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,12,RIGHT,LEFT,1.615928582709144,1.5880763311580766,-0.02785225155106752,0.4604431688785553,0.5563361048698425,0.09589293599128723
suboptimal_to_optimal,suboptimal_to_optimal,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,12,RIGHT,LEFT,1.615928582709144,1.5880763311580766,-0.02785225155106752,0.4604431688785553,0.5563361048698425,0.09589293599128723
action_change,action_change,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0_step_002,together_ai_openai_gpt-oss-20b_rooms2_doorkey_keepdoor_0,failure,15,LEFT,RIGHT,1.2733995125181012,1.2657321027619417,-0.007667409756159538,0.6957727670669556,0.5900060534477234,-0.10576671361923218
