level,belief,relative_commitment_offset,n_states,n_probe_rows,mean_entropy_bits,median_entropy_bits
aggregate,all_current_state_beliefs,-10,44,264,0.42864210468109637,0.3370778979810686
aggregate,all_current_state_beliefs,-9,44,264,0.4232050779943057,0.3731384490499883
aggregate,all_current_state_beliefs,-8,44,264,0.41069064311549525,0.3578637704989094
aggregate,all_current_state_beliefs,-7,44,264,0.43465508613243764,0.3978355060381687
aggregate,all_current_state_beliefs,-6,45,270,0.41319446205761623,0.39823348494977984
aggregate,all_current_state_beliefs,-5,45,270,0.4309256976922387,0.41479429899611037
aggregate,all_current_state_beliefs,-4,45,270,0.4094162228643069,0.3630859366216517
aggregate,all_current_state_beliefs,-3,45,270,0.40630111601147945,0.380572328122579
aggregate,all_current_state_beliefs,-2,45,270,0.399249383818231,0.36481652345983173
aggregate,all_current_state_beliefs,-1,45,270,0.36486164069516125,0.29042626385253023
aggregate,all_current_state_beliefs,0,46,276,0.3763035590495565,0.3157847988913195
aggregate,all_current_state_beliefs,1,46,276,0.3787028502442382,0.3161068682390228
aggregate,all_current_state_beliefs,2,46,276,0.3675760657541948,0.2920492514993127
aggregate,all_current_state_beliefs,3,44,264,0.3456753054181359,0.26883153278417693
aggregate,all_current_state_beliefs,4,43,258,0.3424651453643157,0.26187846581192403
aggregate,all_current_state_beliefs,5,38,228,0.3438896904070269,0.2488954484041869
aggregate,all_current_state_beliefs,6,38,228,0.36156268814750003,0.25842531907272365
aggregate,all_current_state_beliefs,7,36,216,0.3448932788340972,0.29899174937898987
aggregate,all_current_state_beliefs,8,35,210,0.3484879409448285,0.28223173240042987
aggregate,all_current_state_beliefs,9,35,210,0.3593642680989706,0.27926480663693165
aggregate,all_current_state_beliefs,10,33,198,0.36234473923273924,0.2836114950116676
family,door,-10,44,44,0.08757621470107112,0.0667190725029489
family,key,-10,44,44,0.11463181895541896,0.030413337542621002
family,wall,-10,44,176,0.592411148607522,0.5529641866373785
family,door,-9,44,44,0.0947352181309998,0.06418482203425825
family,key,-9,44,44,0.11989605109525427,0.0360115732585311
family,wall,-9,44,176,0.581149799684895,0.5451758997862401
family,door,-8,44,44,0.08939962435422256,0.07163998637014124
family,key,-8,44,44,0.1317620393373707,0.035587602944470345
family,wall,-8,44,176,0.5607455487503445,0.5277766044641681
family,door,-7,44,44,0.0953535933524579,0.0770944188818789
family,key,-7,44,44,0.12024961597024543,0.02948781344977865
family,wall,-7,44,176,0.5980818268679805,0.5742739924305701
family,door,-6,45,45,0.09193277601982439,0.0749915165936194
family,key,-6,45,45,0.1102215177037418,0.032736577193006
family,wall,-6,45,180,0.5692531196555328,0.531195987373984
family,door,-5,45,45,0.10408920352468694,0.0894510047020739
family,key,-5,45,45,0.12267544470473866,0.0324635873163535
family,wall,-5,45,180,0.5896973844810017,0.5919694809664355
family,door,-4,45,45,0.09480721321683487,0.0770791563487991
family,key,-4,45,45,0.11478171669699737,0.0313960456977865
family,wall,-4,45,180,0.5617271018180021,0.5633456101259564
family,door,-3,45,45,0.09459383573077604,0.0738524247788871
family,key,-3,45,45,0.12105219408163648,0.0419588904059091
family,wall,-3,45,180,0.555540166564116,0.5424783826008864
family,door,-2,45,45,0.08535024219257768,0.0728763078718404
family,key,-2,45,45,0.10222363728526337,0.0250822536264394
family,wall,-2,45,180,0.5519806058578862,0.5311965650678545
family,door,-1,45,45,0.07897376809208699,0.0738525894522648
family,key,-1,45,45,0.11340760998768246,0.0190131422205987
family,wall,-1,45,180,0.4991971165227996,0.4745515387132686
family,door,0,46,46,0.09550093976294213,0.0658757363810979
family,key,0,46,46,0.12355774541225736,0.01808075488786835
family,wall,0,46,184,0.5096906672805348,0.46620782509130676
family,door,1,46,46,0.10347630088811816,0.0708914269974861
family,key,1,46,46,0.1278623640708806,0.019596951940693948
family,wall,1,46,184,0.5102196091266077,0.4791098602078572
family,door,2,46,46,0.08770742964475704,0.0578409591957131
family,key,2,46,46,0.1238225792282697,0.0129256181484429
family,wall,2,46,184,0.49848159641303563,0.47111686079870274
