event_family,relative_sentence_offset,belief_group,n_events,mean_belief_error_rate,median_belief_error_rate
action_change,-5,all,643,0.1658890616899948,0.16666666666666666
action_change,-5,door,643,0.01010886469673406,0.0
action_change,-5,key,643,0.37091757387247276,0.5
action_change,-5,wall,643,0.21337480559875585,0.2
action_change,-5,wall_down,643,0.3265940902021773,0.0
action_change,-4,all,649,0.16640986132511557,0.16666666666666666
action_change,-4,door,649,0.012326656394453005,0.0
action_change,-4,key,649,0.3697996918335901,0.5
action_change,-4,wall,649,0.21479198767334362,0.2
action_change,-4,wall_down,649,0.3266563944530046,0.0
action_change,-3,all,658,0.16489361702127658,0.16666666666666666
action_change,-3,door,658,0.00911854103343465,0.0
action_change,-3,key,658,0.3708206686930091,0.5
action_change,-3,wall,658,0.21428571428571427,0.2
action_change,-3,wall_down,658,0.32674772036474165,0.0
action_change,-2,all,666,0.1654154154154154,0.16666666666666666
action_change,-2,door,666,0.00975975975975976,0.0
action_change,-2,key,666,0.35960960960960964,0.5
action_change,-2,wall,666,0.2141141141141141,0.2
action_change,-2,wall_down,666,0.32732732732732733,0.0
action_change,-1,all,682,0.1644672531769306,0.16666666666666666
action_change,-1,door,682,0.007331378299120235,0.0
action_change,-1,key,682,0.3621700879765396,0.5
action_change,-1,wall,682,0.2164222873900293,0.2
action_change,-1,wall_down,682,0.32991202346041054,0.0
action_change,0,all,682,0.16495601173020527,0.16666666666666666
action_change,0,door,682,0.010997067448680353,0.0
action_change,0,key,682,0.3709677419354839,0.5
action_change,0,wall,682,0.21407624633431085,0.2
action_change,0,wall_down,682,0.32991202346041054,0.0
action_change,1,all,682,0.16544477028347995,0.16666666666666666
action_change,1,door,682,0.011730205278592375,0.0
action_change,1,key,682,0.3614369501466276,0.5
action_change,1,wall,682,0.2126099706744868,0.2
action_change,1,wall_down,682,0.32991202346041054,0.0
action_change,2,all,682,0.1644672531769306,0.16666666666666666
action_change,2,door,682,0.009530791788856305,0.0
action_change,2,key,682,0.3680351906158358,0.5
action_change,2,wall,682,0.21173020527859238,0.2
action_change,2,wall_down,682,0.32991202346041054,0.0
action_change,3,all,680,0.16568627450980392,0.16666666666666666
action_change,3,door,680,0.007352941176470588,0.0
action_change,3,key,680,0.36323529411764705,0.5
action_change,3,wall,680,0.21294117647058824,0.2
action_change,3,wall_down,680,0.32941176470588235,0.0
action_change,4,all,678,0.1634709931170108,0.16666666666666666
action_change,4,door,678,0.008112094395280236,0.0
