analysis_unit,progress,median,q25,q75,mean,n_states
Sentence prefixes,0.05,0.9999999977418776,0.9999999856958635,0.9999999995230493,0.9999997549428896,8
Sentence prefixes,0.15,0.9999999989723345,0.9999999957367498,0.9999999994092399,0.9999999971318093,7
Sentence prefixes,0.25,0.9999999993086632,0.9999999966354094,0.9999999995744175,0.9999999968217184,7
Sentence prefixes,0.35,0.9999999996064218,0.9999999979406126,0.999999999794259,0.9999999985580887,8
Sentence prefixes,0.45,0.9999999994615629,0.9999999961650203,0.999999999825177,0.9999999976038227,8
Sentence prefixes,0.55,0.9999999996978373,0.9999999981457346,0.999999999890907,0.9999999978975623,8
Sentence prefixes,0.65,0.9999999994117629,0.9999999986103647,0.9999999998898538,0.9999999983065226,8
Sentence prefixes,0.75,0.9999999990354285,0.9999999976436493,0.9999999999005832,0.9999999983605338,8
Sentence prefixes,0.85,0.9999999990861963,0.9999999972212035,0.9999999996798059,0.999999998313639,8
Sentence prefixes,0.95,0.9999999982265443,0.9999999949524504,0.9999999996277135,0.999999981857102,8
Packed prefixes,0.05,0.9999999991437196,0.999999994879207,0.9999999997012343,0.9999999784815206,8
Packed prefixes,0.15,0.9999999986920877,0.9999999975599444,0.9999999996661562,0.9999999981855489,7
Packed prefixes,0.25,0.9999999992946075,0.9999999984107371,0.9999999999191107,0.9999999989950245,7
Packed prefixes,0.35,0.9999999996093885,0.9999999988140116,0.9999999998229399,0.9999999989751005,8
Packed prefixes,0.45,0.9999999995081061,0.9999999983071187,0.9999999999452289,0.9999999986694844,8
Packed prefixes,0.55,0.9999999997111937,0.9999999989106729,0.9999999999315259,0.9999999989872894,8
Packed prefixes,0.65,0.9999999992761255,0.9999999932306394,0.9999999999215662,0.9999999954702449,8
Packed prefixes,0.75,0.9999999995844882,0.9999999985084551,0.9999999999068333,0.99999999891343,8
Packed prefixes,0.85,0.999999999551382,0.999999995612024,0.9999999997825819,0.9999999978036285,8
Packed prefixes,0.95,0.9999999993771354,0.9999999975962031,0.9999999997714304,0.9999999984692223,8
