event_type,sentence_offset,n_events,n_values,mean_belief_error_rate
sustained_optimal_to_suboptimal,-3,3,3,0.16666666666666666
sustained_optimal_to_suboptimal,-2,3,3,0.16666666666666666
sustained_optimal_to_suboptimal,-1,3,3,0.16666666666666666
sustained_optimal_to_suboptimal,0,3,3,0.16666666666666666
sustained_optimal_to_suboptimal,1,3,3,0.16666666666666666
sustained_optimal_to_suboptimal,2,3,3,0.1111111111111111
sustained_optimal_to_suboptimal,3,3,3,0.1111111111111111
transient_optimal_to_suboptimal,-3,9,9,0.16666666666666666
transient_optimal_to_suboptimal,-2,9,9,0.12962962962962962
transient_optimal_to_suboptimal,-1,9,9,0.12962962962962962
transient_optimal_to_suboptimal,0,9,9,0.14814814814814814
transient_optimal_to_suboptimal,1,9,9,0.16666666666666666
transient_optimal_to_suboptimal,2,9,9,0.18518518518518517
transient_optimal_to_suboptimal,3,9,9,0.18518518518518517
suboptimal_to_optimal_recovery,-3,15,14,0.13095238095238096
suboptimal_to_optimal_recovery,-2,15,14,0.13095238095238096
suboptimal_to_optimal_recovery,-1,15,15,0.13333333333333333
suboptimal_to_optimal_recovery,0,15,15,0.12222222222222222
suboptimal_to_optimal_recovery,1,15,15,0.13333333333333333
suboptimal_to_optimal_recovery,2,15,15,0.16666666666666666
suboptimal_to_optimal_recovery,3,15,15,0.18888888888888886
