progress,median,q25,q75,mean,n_states
0.05,7.503908652081817e-06,7.266518359808058e-07,4.7853229629420795e-05,3.3416991559699386e-05,8
0.15,1.6184082678414184e-05,8.213336651688982e-06,6.380707068304388e-05,0.0001339653967559028,7
0.25,0.00011682393040120371,3.498223376573968e-05,0.0006618077192853324,0.0004247656778605653,7
0.35,0.0003341601261596838,4.444547468408998e-05,0.0009295535060684049,0.0005467046836147237,8
0.45,0.00027375239987792953,9.539743442258407e-05,0.000823706534863063,0.0006812877749985439,8
0.55,0.00021931049929435333,5.4616275592856526e-05,0.0006263882249367135,0.0019919519480127356,8
0.65,0.0003599755478803259,0.00017526993353642352,0.0009503440743703199,0.0014909213241175617,8
0.75,0.00016565555282495713,0.00012754570099060542,0.0004181290812673929,0.0029464241638797735,8
0.85,0.00022917301129147085,8.237406251809231e-05,0.0014751428565648404,0.0027287078622376094,8
0.95,0.006035111101672888,0.003669525494811645,0.01215258792931905,0.008344929722971194,8
